,product_line,RFM_Score ,prod_line_encoded
3605,Standard,0.7,2
3606,Standard,0.7,2
3607,Standard,0.4,2
3608,Standard,0.7,2
3609,Standard,0.1,2
3610,Standard,0.6,2
3611,Road,0.7,1
3612,Road,0.4,1
3613,Touring,0.7,3
3614,Standard,0.3,2
3615,Standard,0.3,2
3616,Road,0.8,1
3617,Standard,0.8,2
3618,Standard,0.4,2
3619,Standard,0.6,2
3620,Standard,0.9,2
3621,Standard,0.7,2
3622,Standard,0.8,2
3623,Standard,0.0,2
3624,Standard,0.0,2
3625,Standard,0.6,2
3626,Standard,0.8,2
3627,Standard,0.1,2
3628,Standard,0.9,2
3629,Standard,0.9,2
3630,Standard,1.0,2
3631,Standard,0.6,2
3632,Standard,0.5,2
3633,Standard,1.0,2
3634,Standard,0.4,2
3635,Standard,0.5,2
3636,Standard,0.9,2
3637,Standard,0.9,2
3638,Standard,0.9,2
3639,Standard,0.3,2
3640,Standard,0.5,2
3641,Standard,0.1,2
3642,Standard,0.4,2
3643,Road,0.4,1
3644,Standard,0.4,2
3645,Touring,0.7,3
3646,Standard,0.0,2
3647,Standard,1.0,2
3648,Road,0.8,1
3649,Standard,0.1,2
3650,Standard,0.7,2
3651,Standard,0.3,2
3652,Standard,0.0,2
3653,Standard,0.4,2
3654,Standard,0.3,2
3655,Standard,0.7,2
3656,Standard,0.5,2
3657,Standard,0.7,2
3658,Standard,0.7,2
3659,Standard,0.7,2
3660,Road,0.2,1
3661,Standard,0.1,2
3662,Standard,0.6,2
3663,Road,0.7,1
3664,Standard,0.5,2
3665,Standard,0.7,2
3666,Standard,0.4,2
3667,Standard,0.1,2
3668,Standard,0.6,2
3669,Standard,0.8,2
3670,Standard,0.8,2
3671,Standard,0.3,2
3672,Standard,0.4,2
3673,Road,0.1,1
3674,Standard,0.5,2
3675,Standard,0.8,2
3676,Road,0.4,1
3677,Standard,0.4,2
3678,Standard,0.4,2
3679,Road,0.8,1
3680,Standard,0.6,2
3681,Standard,0.2,2
3682,Road,0.8,1
3683,Road,0.6,1
3684,Standard,0.6,2
3685,Standard,0.7,2
3686,Standard,0.3,2
3687,Road,0.6,1
3688,Standard,1.0,2
3689,Touring,0.9,3
3690,Standard,0.4,2
3691,Standard,0.6,2
3692,Standard,1.0,2
3693,Standard,0.7,2
3694,Standard,0.5,2
3695,Standard,0.2,2
3696,Standard,0.7,2
3697,Road,0.4,1
3698,Standard,0.6,2
3699,Road,0.1,1
3700,Touring,0.7,3
3701,Standard,0.3,2
3702,Standard,0.5,2
3703,Standard,0.3,2
3704,Standard,0.4,2
3705,Standard,0.3,2
3706,Standard,0.9,2
3707,Standard,0.3,2
3708,Standard,0.7,2
3709,Standard,0.6,2
3710,Standard,0.7,2
3711,Standard,0.7,2
3712,Standard,0.6,2
3713,Standard,0.4,2
3714,Standard,0.7,2
3715,Standard,0.4,2
3716,Standard,0.4,2
3717,Standard,0.4,2
3718,Standard,0.1,2
3719,Road,0.7,1
3720,Standard,0.8,2
3721,Standard,0.4,2
3722,Standard,0.6,2
3723,Standard,0.4,2
3724,Standard,0.9,2
3725,Standard,0.6,2
3726,Standard,0.3,2
3727,Standard,0.6,2
3728,Standard,0.5,2
3729,Road,0.7,1
3730,Road,0.9,1
3731,Standard,0.5,2
3732,Standard,0.8,2
3733,Standard,0.7,2
3734,Standard,0.7,2
3735,Standard,0.4,2
3736,Road,0.3,1
3737,Standard,0.6,2
3738,Standard,0.8,2
3739,Standard,0.3,2
3740,Standard,0.4,2
3741,Road,0.9,1
3742,Touring,0.5,3
3743,Standard,0.3,2
3744,Mountain,1.0,0
3745,Road,0.6,1
3746,Touring,0.6,3
3747,Standard,0.3,2
3748,Road,0.1,1
3749,Touring,0.8,3
3750,Standard,0.1,2
3751,Standard,0.2,2
3752,Standard,0.2,2
3753,Standard,0.3,2
3754,Standard,0.0,2
3755,Standard,0.9,2
3756,Standard,0.6,2
3757,Standard,0.4,2
3758,Standard,0.8,2
3759,Standard,1.0,2
3760,Standard,0.0,2
3761,Standard,0.6,2
3762,Touring,0.6,3
3763,Touring,0.5,3
3764,Road,0.7,1
3765,Road,1.0,1
3766,Standard,0.4,2
3767,Road,0.7,1
3768,Standard,0.4,2
3769,Standard,0.6,2
3770,Standard,0.5,2
3771,Standard,0.5,2
3772,Standard,0.5,2
3773,Standard,0.6,2
3774,Touring,0.8,3
3775,Standard,0.7,2
3776,Road,0.7,1
3777,Standard,0.7,2
3778,Standard,0.8,2
3779,Standard,0.8,2
3780,Standard,0.3,2
3781,Standard,0.3,2
3782,Standard,0.1,2
3783,Standard,0.7,2
3784,Road,0.9,1
3785,Standard,0.8,2
3786,Road,0.8,1
3787,Standard,0.6,2
3788,Road,0.8,1
3789,Standard,0.6,2
3790,Standard,1.0,2
3791,Standard,0.2,2
3792,Road,0.5,1
3793,Road,0.6,1
3794,Road,0.5,1
3795,Standard,1.0,2
3796,Standard,0.9,2
3797,Standard,0.4,2
3798,Standard,0.8,2
3799,Standard,0.4,2
3800,Standard,0.9,2
3801,Touring,0.5,3
3802,Road,0.7,1
3803,Standard,0.7,2
3804,Standard,0.4,2
3805,Standard,0.7,2
3806,Standard,0.8,2
3807,Standard,0.6,2
3808,Standard,0.4,2
3809,Standard,0.5,2
3810,Road,0.4,1
3811,Standard,0.9,2
3812,Standard,0.5,2
3813,Road,0.8,1
3814,Standard,0.6,2
3815,Standard,0.2,2
3816,Standard,0.6,2
3817,Standard,0.6,2
3818,Road,0.7,1
3819,Standard,0.6,2
3820,Standard,0.7,2
3821,Standard,0.3,2
3822,Standard,0.9,2
3823,Standard,0.2,2
3824,Touring,0.9,3
3825,Road,0.3,1
3826,Standard,0.8,2
3827,Standard,0.5,2
3828,Road,0.5,1
3829,Road,0.9,1
3830,Standard,0.3,2
3831,Standard,0.7,2
3832,Standard,0.8,2
3833,Road,0.5,1
3834,Standard,0.5,2
3835,Standard,0.9,2
3836,Road,1.0,1
3837,Road,0.7,1
3838,Touring,0.0,3
3839,Standard,0.5,2
3840,Standard,0.7,2
3841,Touring,0.8,3
3842,Standard,0.6,2
3843,Road,0.7,1
3844,Standard,0.7,2
3845,Standard,0.7,2
3846,Standard,0.6,2
3847,Standard,0.7,2
3848,Standard,0.8,2
3849,Road,0.7,1
3850,Road,0.9,1
3851,Standard,0.6,2
3852,Standard,0.0,2
3853,Standard,0.8,2
3854,Standard,0.7,2
3855,Standard,0.6,2
3856,Standard,0.7,2
3857,Road,0.5,1
3858,Road,1.0,1
3859,Standard,0.8,2
3860,Standard,0.5,2
3861,Standard,0.4,2
3862,Road,0.7,1
3863,Touring,0.8,3
3864,Road,0.4,1
3865,Standard,1.0,2
3866,Touring,0.7,3
3867,Standard,0.5,2
3868,Standard,0.4,2
3869,Road,0.4,1
3870,Road,0.7,1
3871,Standard,0.8,2
3872,Standard,0.7,2
3873,Touring,0.1,3
3874,Road,0.4,1
3875,Standard,0.4,2
3876,Standard,0.3,2
3877,Standard,0.6,2
3878,Standard,0.4,2
3879,Standard,0.2,2
3880,Road,0.6,1
3881,Standard,0.0,2
3882,Road,0.8,1
3883,Road,0.3,1
3884,Road,0.4,1
3885,Road,0.1,1
3886,Standard,0.8,2
3887,Standard,1.0,2
3888,Standard,0.5,2
3889,Standard,0.3,2
3890,Standard,0.6,2
3891,Touring,0.6,3
3892,Mountain,0.3,0
3893,Road,0.7,1
3894,Standard,0.5,2
3895,Standard,0.3,2
3896,Road,0.7,1
3897,Standard,0.6,2
3898,Standard,0.7,2
3899,Standard,0.6,2
3900,Standard,0.3,2
3901,Standard,0.5,2
3902,Standard,0.7,2
3903,Road,0.9,1
3904,Standard,0.7,2
3905,Standard,0.9,2
3906,Standard,0.7,2
3907,Standard,0.3,2
3908,Standard,0.7,2
3909,Mountain,0.9,0
3910,Standard,0.3,2
3911,Road,1.0,1
3912,Standard,0.8,2
3913,Standard,0.0,2
3914,Road,0.6,1
3915,Standard,0.9,2
3916,Standard,0.4,2
3917,Standard,0.8,2
3918,Standard,0.7,2
3919,Road,0.9,1
3920,Standard,0.4,2
3921,Standard,0.7,2
3922,Standard,1.0,2
3923,Standard,0.5,2
3924,Standard,0.7,2
3925,Road,0.5,1
3926,Road,0.1,1
3927,Standard,0.5,2
3928,Standard,0.7,2
3929,Road,0.5,1
3930,Standard,0.9,2
3931,Standard,0.6,2
3932,Standard,0.5,2
3933,Standard,0.9,2
3934,Standard,0.1,2
3935,Standard,0.8,2
3936,Standard,0.1,2
3937,Road,0.8,1
3938,Touring,0.4,3
3939,Standard,0.8,2
3940,Standard,0.2,2
3941,Standard,0.1,2
3942,Touring,0.6,3
3943,Standard,0.6,2
3944,Standard,0.7,2
3945,Touring,0.8,3
3946,Road,0.4,1
3947,Standard,1.0,2
3948,Road,0.6,1
3949,Road,0.4,1
3950,Standard,0.6,2
3951,Road,0.7,1
3952,Standard,0.2,2
3953,Standard,0.7,2
3954,Road,0.9,1
3955,Standard,0.9,2
3956,Standard,0.4,2
3957,Road,0.2,1
3958,Standard,0.5,2
3959,Standard,0.8,2
3960,Standard,0.6,2
3961,Standard,0.1,2
3962,Standard,0.8,2
3963,Standard,0.7,2
3964,Road,0.3,1
3965,Road,0.1,1
3966,Standard,0.3,2
3967,Road,0.3,1
3968,Road,0.4,1
3969,Standard,0.4,2
3970,Road,0.9,1
3971,Road,0.6,1
3972,Standard,0.8,2
3973,Road,0.4,1
3974,Standard,0.9,2
3975,Standard,0.7,2
3976,Road,0.7,1
3977,Standard,0.3,2
3978,Touring,1.0,3
3979,Standard,0.2,2
3980,Standard,0.9,2
3981,Standard,0.6,2
3982,Touring,0.9,3
3983,Road,0.4,1
3984,Standard,0.4,2
3985,Standard,0.5,2
3986,Standard,0.3,2
3987,Touring,0.6,3
3988,Standard,1.0,2
3989,Standard,0.3,2
3990,Standard,0.6,2
3991,Standard,0.9,2
3992,Standard,0.8,2
3993,Standard,0.2,2
3994,Road,0.4,1
3995,Standard,0.8,2
3996,Standard,0.9,2
3997,Standard,0.8,2
3998,Road,0.5,1
3999,Standard,0.1,2
4000,Standard,0.1,2
4001,Road,0.6,1
4002,Road,0.7,1
4003,Standard,0.5,2
4004,Standard,0.9,2
4005,Road,0.8,1
4006,Standard,0.3,2
4007,Standard,0.5,2
4008,Standard,0.0,2
4009,Standard,0.6,2
4010,Standard,0.5,2
4011,Standard,0.1,2
4012,Standard,0.9,2
4013,Road,0.5,1
4014,Standard,0.3,2
4015,Standard,0.4,2
4016,Standard,0.5,2
4017,Standard,0.7,2
4018,Road,0.0,1
4019,Standard,0.9,2
4020,Standard,0.4,2
4021,Road,0.6,1
4022,Standard,0.3,2
4023,Standard,0.6,2
4024,Standard,0.6,2
4025,Road,0.9,1
4026,Standard,0.2,2
4027,Standard,0.8,2
4028,Standard,0.7,2
4029,Standard,0.0,2
4030,Standard,0.3,2
4031,Standard,0.9,2
4032,Road,0.1,1
4033,Mountain,0.6,0
4034,Standard,0.1,2
4035,Touring,0.6,3
4036,Standard,0.5,2
4037,Standard,0.5,2
4038,Mountain,0.5,0
4039,Touring,0.9,3
4040,Standard,0.8,2
4041,Road,0.5,1
4042,Road,0.3,1
4043,Standard,0.5,2
4044,Standard,0.5,2
4045,Standard,0.7,2
4046,Touring,0.5,3
4047,Standard,0.4,2
4048,Standard,0.6,2
4049,Standard,0.9,2
4050,Road,0.4,1
4051,Standard,0.5,2
4052,Touring,0.9,3
4053,Road,0.9,1
4054,Standard,0.5,2
4055,Standard,0.6,2
4056,Road,0.8,1
4057,Road,1.0,1
4058,Road,0.3,1
4059,Standard,0.9,2
4060,Road,0.4,1
4061,Standard,0.7,2
4062,Standard,1.0,2
4063,Road,0.9,1
4064,Standard,0.6,2
4065,Road,0.3,1
4066,Road,0.3,1
4067,Touring,0.2,3
4068,Standard,0.8,2
4069,Standard,0.9,2
4070,Standard,0.4,2
4071,Standard,0.6,2
4072,Standard,0.4,2
4073,Road,0.2,1
4074,Standard,0.9,2
4075,Standard,0.4,2
4076,Road,0.5,1
4077,Standard,0.7,2
4078,Road,0.9,1
4079,Standard,0.6,2
4080,Standard,0.7,2
4081,Standard,0.3,2
4082,Standard,0.8,2
4083,Road,0.6,1
4084,Standard,0.8,2
4085,Standard,0.5,2
4086,Standard,0.8,2
4087,Standard,0.8,2
4088,Standard,0.8,2
4089,Standard,0.6,2
4090,Standard,0.7,2
4091,Standard,0.9,2
4092,Road,0.9,1
4093,Standard,0.3,2
4094,Standard,0.9,2
4095,Standard,0.1,2
4096,Standard,0.1,2
4097,Road,0.5,1
4098,Standard,0.7,2
4099,Standard,0.6,2
4100,Standard,1.0,2
4101,Standard,0.6,2
4102,Standard,0.6,2
4103,Standard,0.3,2
4104,Road,0.8,1
4105,Standard,0.8,2
4106,Standard,0.9,2
4107,Standard,0.8,2
4108,Touring,0.3,3
4109,Standard,0.4,2
4110,Standard,0.5,2
4111,Standard,0.7,2
4112,Touring,0.7,3
4113,Touring,0.8,3
4114,Standard,0.0,2
4115,Standard,0.7,2
4116,Touring,0.8,3
4117,Standard,0.5,2
4118,Standard,0.2,2
4119,Standard,0.5,2
4120,Standard,0.3,2
4121,Standard,0.8,2
4122,Standard,0.7,2
4123,Standard,0.4,2
4124,Standard,0.9,2
4125,Standard,0.4,2
4126,Standard,0.5,2
4127,Standard,0.3,2
4128,Touring,0.8,3
4129,Road,0.6,1
4130,Standard,0.9,2
4131,Standard,0.7,2
4132,Road,0.6,1
4133,Standard,1.0,2
4134,Standard,0.9,2
4135,Standard,0.5,2
4136,Road,0.7,1
4137,Standard,0.6,2
4138,Standard,0.3,2
4139,Road,0.5,1
4140,Standard,0.8,2
4141,Standard,1.0,2
4142,Touring,0.7,3
4143,Standard,0.4,2
4144,Standard,0.7,2
4145,Standard,0.6,2
4146,Road,1.0,1
4147,Road,0.6,1
4148,Road,1.0,1
4149,Road,0.6,1
4150,Standard,0.9,2
4151,Standard,0.5,2
4152,Standard,1.0,2
4153,Mountain,0.5,0
4154,Road,0.1,1
4155,Standard,0.8,2
4156,Standard,0.7,2
4157,Standard,0.3,2
4158,Standard,0.9,2
4159,Standard,0.9,2
4160,Standard,0.2,2
4161,Standard,0.9,2
4162,Standard,1.0,2
4163,Road,0.2,1
4164,Touring,0.5,3
4165,Road,0.4,1
4166,Road,0.7,1
4167,Standard,0.6,2
4168,Standard,0.3,2
4169,Standard,0.5,2
4170,Road,0.6,1
4171,Standard,0.3,2
4172,Standard,0.5,2
4173,Road,1.0,1
4174,Standard,0.4,2
4175,Standard,0.8,2
4176,Standard,0.8,2
4177,Standard,0.0,2
4178,Standard,0.9,2
4179,Standard,0.7,2
4180,Standard,0.6,2
4181,Road,0.7,1
4182,Standard,0.7,2
4183,Standard,0.9,2
4184,Standard,0.1,2
4185,Road,0.9,1
4186,Standard,0.7,2
4187,Standard,0.8,2
4188,Road,0.0,1
4189,Standard,0.4,2
4190,Standard,0.4,2
4191,Standard,0.6,2
4192,Standard,0.5,2
4193,Standard,0.4,2
4194,Standard,0.1,2
4195,Standard,0.7,2
4196,Road,0.4,1
4197,Standard,0.7,2
4198,Road,0.6,1
4199,Standard,0.4,2
4200,Standard,0.5,2
4201,Standard,0.6,2
4202,Standard,0.4,2
4203,Standard,0.6,2
4204,Road,0.8,1
4205,Standard,0.6,2
4206,Standard,0.7,2
4207,Standard,0.9,2
4208,Road,0.6,1
4209,Road,0.7,1
4210,Road,0.7,1
4211,Touring,0.8,3
4212,Standard,0.3,2
4213,Road,0.7,1
4214,Standard,0.4,2
4215,Standard,1.0,2
4216,Standard,0.6,2
4217,Standard,0.1,2
4218,Standard,0.7,2
4219,Standard,0.3,2
4220,Standard,0.3,2
4221,Standard,0.4,2
4222,Standard,0.5,2
4223,Standard,0.1,2
4224,Standard,0.4,2
4225,Touring,0.6,3
4226,Standard,0.3,2
4227,Standard,0.4,2
4228,Road,0.0,1
4229,Standard,0.6,2
4230,Standard,0.6,2
4231,Standard,0.4,2
4232,Standard,0.4,2
4233,Standard,0.5,2
4234,Standard,0.7,2
4235,Standard,0.4,2
4236,Standard,0.9,2
4237,Road,0.4,1
4238,Road,0.6,1
4239,Standard,0.6,2
4240,Standard,0.6,2
4241,Standard,0.8,2
4242,Standard,0.1,2
4243,Standard,0.4,2
4244,Standard,0.6,2
4245,Standard,0.8,2
4246,Standard,0.5,2
4247,Standard,0.7,2
4248,Standard,0.6,2
4249,Standard,0.4,2
4250,Standard,0.5,2
4251,Road,1.0,1
4252,Standard,0.7,2
4253,Standard,0.8,2
4254,Standard,0.9,2
4255,Road,0.6,1
4256,Standard,0.5,2
4257,Standard,0.3,2
4258,Standard,0.7,2
4259,Road,0.4,1
4260,Road,0.6,1
4261,Standard,0.8,2
4262,Road,0.8,1
4263,Standard,0.8,2
4264,Standard,0.7,2
4265,Mountain,0.7,0
4266,Standard,0.6,2
4267,Standard,0.6,2
4268,Standard,0.4,2
4269,Road,0.3,1
4270,Standard,0.9,2
4271,Standard,0.7,2
4272,Road,0.8,1
4273,Standard,0.0,2
4274,Standard,0.3,2
4275,Road,0.2,1
4276,Standard,0.8,2
4277,Road,0.4,1
4278,Standard,0.3,2
4279,Standard,0.0,2
4280,Standard,0.3,2
4281,Standard,0.6,2
4282,Standard,0.6,2
4283,Standard,0.6,2
4284,Standard,0.1,2
4285,Road,0.9,1
4286,Standard,1.0,2
4287,Standard,0.7,2
4288,Road,0.2,1
4289,Standard,0.3,2
4290,Standard,0.4,2
4291,Standard,0.5,2
4292,Standard,0.7,2
4293,Road,0.8,1
4294,Standard,0.3,2
4295,Standard,0.6,2
4296,Standard,0.4,2
4297,Standard,0.4,2
4298,Standard,0.5,2
4299,Standard,0.3,2
4300,Standard,0.0,2
4301,Standard,0.4,2
4302,Standard,0.8,2
4303,Touring,0.9,3
4304,Standard,0.3,2
4305,Standard,0.6,2
4306,Standard,0.4,2
4307,Standard,0.5,2
4308,Road,1.0,1
4309,Standard,0.7,2
4310,Standard,0.1,2
4311,Standard,0.4,2
4312,Standard,0.5,2
4313,Standard,0.9,2
4314,Standard,0.4,2
4315,Road,0.5,1
4316,Road,0.3,1
4317,Road,0.3,1
4318,Standard,0.5,2
4319,Standard,0.9,2
4320,Road,0.6,1
4321,Standard,0.9,2
4322,Standard,0.6,2
4323,Road,0.7,1
4324,Mountain,0.9,0
4325,Standard,0.6,2
4326,Road,0.9,1
4327,Standard,0.8,2
4328,Standard,0.6,2
4329,Standard,0.9,2
4330,Road,0.6,1
4331,Standard,0.6,2
4332,Standard,0.6,2
4333,Standard,0.3,2
4334,Standard,0.9,2
4335,Standard,0.6,2
4336,Standard,0.3,2
4337,Standard,0.5,2
4338,Road,0.9,1
4339,Standard,0.8,2
4340,Standard,0.6,2
4341,Standard,1.0,2
4342,Standard,0.7,2
4343,Standard,0.7,2
4344,Standard,0.8,2
4345,Standard,0.1,2
4346,Road,0.8,1
4347,Road,0.6,1
4348,Standard,0.5,2
4349,Standard,0.9,2
4350,Standard,0.3,2
4351,Touring,0.5,3
4352,Road,0.5,1
4353,Standard,0.6,2
4354,Mountain,0.6,0
4355,Standard,0.5,2
4356,Standard,0.7,2
4357,Standard,0.6,2
4358,Standard,0.8,2
4359,Standard,0.4,2
4360,Standard,0.7,2
4361,Standard,0.7,2
4362,Standard,0.3,2
4363,Standard,0.4,2
4364,Road,0.6,1
4365,Road,0.6,1
4366,Standard,0.7,2
4367,Standard,0.6,2
4368,Standard,0.8,2
4369,Standard,0.7,2
4370,Standard,0.4,2
4371,Road,0.6,1
4372,Standard,0.6,2
4373,Standard,0.9,2
4374,Standard,0.4,2
4375,Standard,0.2,2
4376,Standard,0.7,2
4377,Standard,0.9,2
4378,Standard,0.4,2
4379,Standard,1.0,2
4380,Standard,1.0,2
4381,Standard,0.7,2
4382,Standard,0.6,2
4383,Standard,0.7,2
4384,Touring,0.3,3
4385,Standard,0.7,2
4386,Road,0.7,1
4387,Standard,0.6,2
4388,Standard,0.8,2
4389,Standard,0.3,2
4390,Standard,1.0,2
4391,Standard,0.9,2
4392,Standard,0.8,2
4393,Road,0.6,1
4394,Standard,0.5,2
4395,Standard,0.3,2
4396,Standard,1.0,2
4397,Standard,0.9,2
4398,Standard,0.6,2
4399,Standard,0.6,2
4400,Standard,0.5,2
4401,Road,0.7,1
4402,Road,0.6,1
4403,Standard,0.7,2
4404,Standard,0.5,2
4405,Standard,0.4,2
4406,Standard,0.9,2
4407,Standard,0.2,2
4408,Standard,0.9,2
4409,Road,0.4,1
4410,Touring,0.5,3
4411,Standard,0.1,2
4412,Standard,0.9,2
4413,Touring,0.7,3
4414,Standard,0.6,2
4415,Standard,0.2,2
4416,Standard,0.6,2
4417,Standard,0.8,2
4418,Standard,0.8,2
4419,Touring,0.6,3
4420,Road,0.6,1
4421,Standard,0.5,2
4422,Road,0.0,1
4423,Road,0.9,1
4424,Standard,0.8,2
4425,Standard,0.8,2
4426,Standard,0.1,2
4427,Standard,0.6,2
4428,Standard,0.4,2
4429,Standard,0.9,2
4430,Touring,0.4,3
4431,Standard,0.0,2
4432,Touring,0.3,3
4433,Standard,0.9,2
4434,Standard,0.6,2
4435,Standard,0.3,2
4436,Road,0.9,1
4437,Standard,0.7,2
4438,Standard,0.5,2
4439,Standard,0.7,2
4440,Road,0.6,1
4441,Standard,0.6,2
4442,Standard,0.7,2
4443,Road,0.3,1
4444,Mountain,0.7,0
4445,Standard,0.7,2
4446,Standard,1.0,2
4447,Standard,0.8,2
4448,Standard,0.1,2
4449,Standard,0.5,2
4450,Standard,0.4,2
4451,Road,0.3,1
4452,Mountain,0.6,0
4453,Standard,0.1,2
4454,Touring,0.9,3
4455,Standard,0.4,2
4456,Standard,0.7,2
4457,Standard,0.4,2
4458,Standard,0.1,2
4459,Road,0.9,1
4460,Standard,0.5,2
4461,Standard,0.0,2
4462,Road,0.0,1
4463,Road,0.1,1
4464,Standard,0.7,2
4465,Standard,0.3,2
4466,Standard,0.4,2
4467,Standard,0.4,2
4468,Standard,0.8,2
4469,Standard,0.1,2
4470,Standard,0.4,2
4471,Standard,0.9,2
4472,Standard,0.8,2
4473,Road,0.8,1
4474,Road,0.6,1
4475,Standard,0.3,2
4476,Standard,0.9,2
4477,Standard,0.8,2
4478,Road,0.6,1
4479,Road,0.5,1
4480,Standard,0.8,2
4481,Road,1.0,1
4482,Road,0.4,1
4483,Standard,0.7,2
4484,Touring,0.2,3
4485,Standard,0.7,2
4486,Standard,0.3,2
4487,Road,0.7,1
4488,Standard,0.9,2
4489,Standard,0.9,2
4490,Standard,0.4,2
4491,Standard,0.7,2
4492,Standard,0.9,2
4493,Touring,0.3,3
4494,Standard,0.7,2
4495,Standard,0.5,2
4496,Road,0.4,1
4497,Standard,0.0,2
4498,Touring,0.6,3
4499,Standard,1.0,2
4500,Road,0.6,1
4501,Standard,0.4,2
4502,Standard,0.7,2
4503,Standard,0.6,2
4504,Standard,0.9,2
4505,Road,0.4,1
4506,Mountain,0.3,0
4507,Touring,1.0,3
4508,Standard,0.7,2
4509,Standard,0.7,2
4510,Standard,0.6,2
4511,Standard,0.5,2
4512,Road,0.6,1
4513,Standard,0.7,2
4514,Standard,0.5,2
4515,Road,0.7,1
4516,Touring,0.8,3
4517,Road,0.5,1
4518,Standard,0.9,2
4519,Road,1.0,1
4520,Standard,0.4,2
4521,Standard,0.5,2
4522,Standard,0.9,2
4523,Standard,0.6,2
4524,Standard,0.6,2
4525,Standard,0.8,2
4526,Standard,0.7,2
4527,Standard,0.8,2
4528,Standard,0.5,2
4529,Standard,0.6,2
4530,Standard,0.4,2
4531,Road,0.7,1
4532,Road,0.7,1
4533,Standard,1.0,2
4534,Standard,0.4,2
4535,Road,0.6,1
4536,Standard,0.9,2
4537,Touring,0.8,3
4538,Standard,0.3,2
4539,Standard,0.8,2
4540,Road,0.9,1
4541,Standard,0.4,2
4542,Road,0.9,1
4543,Standard,0.5,2
4544,Road,0.8,1
4545,Standard,0.7,2
4546,Road,0.7,1
4547,Standard,0.8,2
4548,Standard,0.7,2
4549,Standard,0.5,2
4550,Standard,0.4,2
4551,Road,0.9,1
4552,Standard,0.4,2
4553,Standard,0.6,2
4554,Standard,0.3,2
4555,Road,0.9,1
4556,Touring,0.5,3
4557,Standard,0.8,2
4558,Road,0.9,1
4559,Standard,0.7,2
4560,Road,0.4,1
4561,Road,0.4,1
4562,Standard,0.7,2
4563,Standard,0.6,2
4564,Standard,0.2,2
4565,Standard,0.6,2
4566,Road,0.6,1
4567,Road,0.7,1
4568,Standard,0.5,2
4569,Road,0.9,1
4570,Standard,0.4,2
4571,Standard,0.4,2
4572,Standard,0.4,2
4573,Standard,0.9,2
4574,Standard,0.5,2
4575,Standard,0.1,2
4576,Standard,0.1,2
4577,Standard,0.6,2
4578,Standard,0.9,2
4579,Standard,0.4,2
4580,Road,0.3,1
4581,Standard,0.4,2
4582,Standard,0.4,2
4583,Standard,0.3,2
4584,Standard,0.3,2
4585,Standard,0.0,2
4586,Standard,0.1,2
4587,Standard,0.4,2
4588,Touring,0.7,3
4589,Standard,0.1,2
4590,Standard,0.8,2
4591,Standard,0.2,2
4592,Touring,0.3,3
4593,Standard,0.8,2
4594,Standard,0.4,2
4595,Standard,0.7,2
4596,Standard,0.3,2
4597,Standard,0.6,2
4598,Standard,0.3,2
4599,Road,0.5,1
4600,Standard,0.0,2
4601,Standard,0.7,2
4602,Standard,0.1,2
4603,Road,0.3,1
4604,Standard,0.9,2
4605,Standard,0.2,2
4606,Road,0.6,1
4607,Road,0.6,1
4608,Standard,0.4,2
4609,Standard,0.0,2
4610,Touring,0.0,3
4611,Standard,0.4,2
4612,Standard,0.7,2
4613,Touring,0.8,3
4614,Standard,0.5,2
4615,Road,0.4,1
4616,Standard,0.7,2
4617,Standard,0.6,2
4618,Standard,0.2,2
4619,Standard,0.6,2
4620,Standard,0.1,2
4621,Standard,0.9,2
4622,Standard,0.7,2
4623,Road,0.6,1
4624,Standard,0.6,2
4625,Standard,0.9,2
4626,Standard,0.3,2
4627,Standard,0.6,2
4628,Mountain,0.6,0
4629,Road,0.4,1
4630,Road,0.8,1
4631,Standard,0.7,2
4632,Standard,0.5,2
4633,Road,1.0,1
4634,Standard,0.3,2
4635,Road,0.1,1
4636,Standard,1.0,2
4637,Standard,0.6,2
4638,Mountain,0.6,0
4639,Road,0.3,1
4640,Standard,0.4,2
4641,Standard,0.7,2
4642,Standard,0.6,2
4643,Standard,0.1,2
4644,Standard,0.8,2
4645,Standard,0.4,2
4646,Standard,0.6,2
4647,Standard,0.4,2
4648,Standard,0.7,2
4649,Standard,0.6,2
4650,Standard,0.5,2
4651,Standard,0.4,2
4652,Road,1.0,1
4653,Standard,0.4,2
4654,Standard,0.5,2
4655,Touring,0.6,3
4656,Standard,0.0,2
4657,Standard,0.7,2
4658,Standard,0.4,2
4659,Standard,0.8,2
4660,Standard,0.0,2
4661,Standard,0.1,2
4662,Standard,0.3,2
4663,Standard,0.9,2
4664,Road,0.3,1
4665,Road,0.7,1
4666,Standard,0.9,2
4667,Standard,0.1,2
4668,Standard,0.2,2
4669,Road,0.2,1
4670,Road,0.5,1
4671,Standard,0.0,2
4672,Standard,0.6,2
4673,Standard,0.7,2
4674,Standard,0.8,2
4675,Road,0.4,1
4676,Standard,0.3,2
4677,Standard,0.7,2
4678,Standard,0.4,2
4679,Touring,0.8,3
4680,Standard,0.3,2
4681,Standard,0.9,2
4682,Standard,0.5,2
4683,Road,0.9,1
4684,Standard,0.8,2
4685,Touring,0.7,3
4686,Touring,0.4,3
4687,Standard,0.3,2
4688,Road,0.2,1
4689,Mountain,0.2,0
4690,Standard,0.4,2
4691,Road,0.6,1
4692,Road,0.0,1
4693,Road,0.3,1
4694,Standard,0.3,2
4695,Standard,0.7,2
