,wealth_segment,RFM_Score ,wealth_segment_encoded,cluster
2001,Mass Customer,0.8,2,1
2002,High Net Worth,0.7,1,0
2003,High Net Worth,0.9,1,0
2004,High Net Worth,0.4,1,0
2005,Mass Customer,0.2,2,1
2006,Mass Customer,0.6,2,1
2007,Mass Customer,0.7,2,1
2008,High Net Worth,0.7,1,0
2009,High Net Worth,0.6,1,0
2010,High Net Worth,0.7,1,0
2011,Affluent Customer,0.8,0,2
2012,Mass Customer,0.4,2,1
2013,Mass Customer,0.6,2,1
2014,Affluent Customer,0.5,0,2
2015,High Net Worth,0.6,1,0
2016,Affluent Customer,0.4,0,2
2017,High Net Worth,0.6,1,0
2018,Mass Customer,0.7,2,1
2019,Affluent Customer,0.4,0,2
2020,Affluent Customer,0.8,0,2
2021,High Net Worth,0.4,1,0
2022,Mass Customer,1.0,2,1
2023,Mass Customer,0.5,2,1
2024,Affluent Customer,0.6,0,2
2025,High Net Worth,0.7,1,0
2026,Affluent Customer,0.8,0,2
2027,Affluent Customer,0.4,0,2
2028,Affluent Customer,0.7,0,2
2029,Mass Customer,0.6,2,1
2030,High Net Worth,0.7,1,0
2031,Mass Customer,1.0,2,1
2032,Mass Customer,0.7,2,1
2033,High Net Worth,0.4,1,0
2034,High Net Worth,0.5,1,0
2035,Mass Customer,0.2,2,1
2036,Affluent Customer,0.7,0,2
2037,High Net Worth,0.1,1,0
2038,Mass Customer,1.0,2,1
2039,Mass Customer,0.6,2,1
2040,Mass Customer,0.8,2,1
2041,High Net Worth,1.0,1,0
2042,Mass Customer,0.6,2,1
2043,Mass Customer,0.5,2,1
2044,Affluent Customer,1.0,0,2
2045,Mass Customer,0.1,2,1
2046,Mass Customer,0.7,2,1
2047,Mass Customer,0.9,2,1
2048,Mass Customer,0.9,2,1
2049,Affluent Customer,0.0,0,2
2050,Affluent Customer,0.8,0,2
2051,Affluent Customer,0.6,0,2
2052,High Net Worth,0.6,1,0
2053,High Net Worth,0.5,1,0
2054,Mass Customer,0.2,2,1
2055,Affluent Customer,0.8,0,2
2056,Affluent Customer,0.8,0,2
2057,Mass Customer,0.3,2,1
2058,Affluent Customer,0.4,0,2
2059,High Net Worth,0.3,1,0
2060,Mass Customer,0.6,2,1
2061,Mass Customer,0.8,2,1
2062,Affluent Customer,0.4,0,2
2063,Affluent Customer,0.5,0,2
2064,Affluent Customer,0.3,0,2
2065,High Net Worth,0.1,1,0
2066,Mass Customer,0.4,2,1
2067,High Net Worth,0.9,1,0
2068,Mass Customer,0.7,2,1
2069,Mass Customer,1.0,2,1
2070,Mass Customer,0.5,2,1
2071,High Net Worth,0.1,1,0
2072,Mass Customer,0.6,2,1
2073,Affluent Customer,0.3,0,2
2074,Affluent Customer,0.7,0,2
2075,Affluent Customer,0.9,0,2
2076,High Net Worth,0.1,1,0
2077,Mass Customer,0.8,2,1
2078,High Net Worth,0.1,1,0
2079,Affluent Customer,0.6,0,2
2080,Affluent Customer,0.4,0,2
2081,Mass Customer,0.6,2,1
2082,Mass Customer,0.8,2,1
2083,Mass Customer,0.8,2,1
2084,High Net Worth,0.6,1,0
2085,Mass Customer,0.7,2,1
2086,High Net Worth,0.6,1,0
2087,High Net Worth,0.7,1,0
2088,High Net Worth,0.3,1,0
2089,Mass Customer,0.6,2,1
2090,Mass Customer,0.8,2,1
2091,Mass Customer,0.6,2,1
2092,High Net Worth,0.2,1,0
2093,Mass Customer,0.8,2,1
2094,Mass Customer,0.6,2,1
2095,Mass Customer,0.6,2,1
2096,Affluent Customer,1.0,0,2
2097,Mass Customer,0.2,2,1
2098,Mass Customer,0.9,2,1
2099,Mass Customer,0.6,2,1
2100,High Net Worth,0.7,1,0
2101,Mass Customer,0.8,2,1
2102,Mass Customer,0.9,2,1
2103,Mass Customer,0.4,2,1
2104,Mass Customer,0.4,2,1
2105,High Net Worth,0.3,1,0
2106,Affluent Customer,0.8,0,2
2107,Mass Customer,0.8,2,1
2108,Mass Customer,0.6,2,1
2109,Mass Customer,0.5,2,1
2110,High Net Worth,0.5,1,0
2111,Mass Customer,0.7,2,1
2112,Mass Customer,1.0,2,1
2113,Mass Customer,0.8,2,1
2114,Affluent Customer,0.6,0,2
2115,Affluent Customer,0.8,0,2
2116,Mass Customer,0.7,2,1
2117,High Net Worth,0.9,1,0
2118,High Net Worth,0.9,1,0
2119,High Net Worth,0.6,1,0
2120,Mass Customer,0.2,2,1
2121,High Net Worth,0.5,1,0
2122,Mass Customer,0.5,2,1
2123,Affluent Customer,0.9,0,2
2124,Mass Customer,0.5,2,1
2125,Affluent Customer,0.4,0,2
2126,Mass Customer,0.4,2,1
2127,Mass Customer,0.6,2,1
2128,Affluent Customer,0.4,0,2
2129,Mass Customer,0.4,2,1
2130,Mass Customer,0.7,2,1
2131,Affluent Customer,0.8,0,2
2132,Mass Customer,0.1,2,1
2133,Mass Customer,0.8,2,1
2134,Mass Customer,0.9,2,1
2135,High Net Worth,0.6,1,0
2136,Affluent Customer,0.7,0,2
2137,Affluent Customer,0.7,0,2
2138,Affluent Customer,0.4,0,2
2139,Affluent Customer,0.7,0,2
2140,Mass Customer,0.3,2,1
2141,Affluent Customer,0.8,0,2
2142,Mass Customer,0.6,2,1
2143,Mass Customer,0.6,2,1
2144,Mass Customer,0.8,2,1
2145,High Net Worth,0.4,1,0
2146,Mass Customer,0.6,2,1
2147,High Net Worth,0.6,1,0
2148,Affluent Customer,0.6,0,2
2149,Affluent Customer,0.4,0,2
2150,Affluent Customer,0.5,0,2
2151,Mass Customer,0.4,2,1
2152,High Net Worth,0.5,1,0
2153,Mass Customer,0.7,2,1
2154,Mass Customer,0.9,2,1
2155,Mass Customer,0.7,2,1
2156,Affluent Customer,0.5,0,2
2157,High Net Worth,0.6,1,0
2158,Mass Customer,0.4,2,1
2159,Mass Customer,0.7,2,1
2160,High Net Worth,0.7,1,0
2161,Mass Customer,0.1,2,1
2162,Mass Customer,0.5,2,1
2163,Affluent Customer,0.4,0,2
2164,Affluent Customer,0.7,0,2
2165,High Net Worth,0.3,1,0
2166,Affluent Customer,0.5,0,2
2167,Affluent Customer,0.8,0,2
2168,High Net Worth,0.7,1,0
2169,High Net Worth,0.7,1,0
2170,High Net Worth,0.9,1,0
2171,Affluent Customer,0.4,0,2
2172,Mass Customer,0.5,2,1
2173,High Net Worth,0.6,1,0
2174,Mass Customer,0.3,2,1
2175,Mass Customer,1.0,2,1
2176,Mass Customer,0.7,2,1
2177,Mass Customer,0.7,2,1
2178,High Net Worth,0.8,1,0
2179,Affluent Customer,0.7,0,2
2180,Mass Customer,0.6,2,1
2181,High Net Worth,0.6,1,0
2182,Mass Customer,0.9,2,1
2183,High Net Worth,0.9,1,0
2184,Affluent Customer,0.5,0,2
2185,High Net Worth,0.5,1,0
2186,Affluent Customer,0.1,0,2
2187,High Net Worth,0.9,1,0
2188,Mass Customer,0.4,2,1
2189,Affluent Customer,0.7,0,2
2190,Affluent Customer,0.4,0,2
2191,Affluent Customer,0.7,0,2
2192,Mass Customer,0.9,2,1
2193,High Net Worth,0.5,1,0
2194,Affluent Customer,0.3,0,2
2195,High Net Worth,0.5,1,0
2196,Mass Customer,0.6,2,1
2197,Mass Customer,0.6,2,1
2198,High Net Worth,0.5,1,0
2199,Affluent Customer,0.6,0,2
2200,High Net Worth,0.9,1,0
2201,Mass Customer,0.5,2,1
2202,High Net Worth,0.7,1,0
2203,Mass Customer,0.4,2,1
2204,Mass Customer,0.8,2,1
2205,Mass Customer,0.8,2,1
2206,Mass Customer,0.4,2,1
2207,Mass Customer,0.4,2,1
2208,Mass Customer,0.6,2,1
2209,Mass Customer,0.4,2,1
2210,Affluent Customer,0.4,0,2
2211,Mass Customer,0.8,2,1
2212,High Net Worth,0.9,1,0
2213,High Net Worth,0.5,1,0
2214,High Net Worth,0.1,1,0
2215,Mass Customer,1.0,2,1
2216,Mass Customer,0.4,2,1
2217,High Net Worth,0.8,1,0
2218,High Net Worth,0.9,1,0
2219,Mass Customer,0.6,2,1
2220,Mass Customer,0.4,2,1
2221,High Net Worth,0.2,1,0
2222,Mass Customer,0.8,2,1
2223,Mass Customer,1.0,2,1
2224,Mass Customer,0.7,2,1
2225,Affluent Customer,1.0,0,2
2226,Mass Customer,0.8,2,1
2227,High Net Worth,0.8,1,0
2228,Affluent Customer,1.0,0,2
2229,Mass Customer,0.9,2,1
2230,Affluent Customer,0.8,0,2
2231,High Net Worth,0.6,1,0
2232,Mass Customer,0.7,2,1
2233,Mass Customer,0.6,2,1
2234,Affluent Customer,0.4,0,2
2235,Mass Customer,0.5,2,1
2236,Mass Customer,0.6,2,1
2237,Affluent Customer,0.4,0,2
2238,Mass Customer,0.6,2,1
2239,High Net Worth,0.7,1,0
2240,High Net Worth,0.9,1,0
2241,Affluent Customer,1.0,0,2
2242,Mass Customer,0.6,2,1
2243,Affluent Customer,0.3,0,2
2244,High Net Worth,0.7,1,0
2245,Mass Customer,0.2,2,1
2246,Mass Customer,0.4,2,1
2247,High Net Worth,0.9,1,0
2248,Mass Customer,0.8,2,1
2249,Mass Customer,0.0,2,1
2250,Mass Customer,0.4,2,1
2251,Affluent Customer,0.6,0,2
2252,Mass Customer,0.8,2,1
2253,High Net Worth,0.7,1,0
2254,Mass Customer,0.9,2,1
2255,Affluent Customer,1.0,0,2
2256,High Net Worth,0.4,1,0
2257,High Net Worth,0.7,1,0
2258,Mass Customer,0.3,2,1
2259,High Net Worth,0.3,1,0
2260,Mass Customer,0.4,2,1
2261,Mass Customer,0.3,2,1
2262,Mass Customer,0.7,2,1
2263,High Net Worth,1.0,1,0
2264,High Net Worth,0.3,1,0
2265,Mass Customer,1.0,2,1
2266,Mass Customer,0.9,2,1
2267,Mass Customer,1.0,2,1
2268,Mass Customer,0.3,2,1
2269,High Net Worth,0.0,1,0
2270,Mass Customer,0.2,2,1
2271,Mass Customer,0.8,2,1
2272,Mass Customer,0.9,2,1
2273,High Net Worth,0.5,1,0
2274,Mass Customer,0.2,2,1
2275,High Net Worth,0.7,1,0
2276,Mass Customer,0.0,2,1
2277,High Net Worth,0.9,1,0
2278,Mass Customer,0.8,2,1
2279,High Net Worth,0.8,1,0
2280,Mass Customer,0.4,2,1
2281,Mass Customer,0.7,2,1
2282,High Net Worth,0.3,1,0
2283,High Net Worth,0.4,1,0
2284,High Net Worth,0.7,1,0
2285,Mass Customer,0.3,2,1
2286,Mass Customer,0.3,2,1
2287,Mass Customer,0.4,2,1
2288,High Net Worth,0.8,1,0
2289,Mass Customer,0.8,2,1
2290,Affluent Customer,0.9,0,2
2291,High Net Worth,0.7,1,0
2292,Mass Customer,0.2,2,1
2293,High Net Worth,0.1,1,0
2294,High Net Worth,0.3,1,0
2295,High Net Worth,0.5,1,0
2296,Mass Customer,0.7,2,1
2297,Mass Customer,1.0,2,1
2298,High Net Worth,0.7,1,0
2299,High Net Worth,0.7,1,0
2300,Affluent Customer,0.6,0,2
2301,Mass Customer,0.8,2,1
2302,Mass Customer,0.7,2,1
2303,Affluent Customer,0.4,0,2
2304,High Net Worth,0.6,1,0
2305,Mass Customer,0.8,2,1
2306,Mass Customer,0.6,2,1
2307,Mass Customer,0.6,2,1
2308,High Net Worth,0.6,1,0
2309,Mass Customer,0.4,2,1
2310,Affluent Customer,0.8,0,2
2311,High Net Worth,0.7,1,0
2312,Mass Customer,0.7,2,1
2313,Mass Customer,0.8,2,1
2314,Affluent Customer,0.4,0,2
2315,Affluent Customer,0.8,0,2
2316,Mass Customer,0.7,2,1
2317,Mass Customer,0.2,2,1
2318,Mass Customer,0.7,2,1
2319,High Net Worth,0.9,1,0
2320,Mass Customer,0.4,2,1
2321,Mass Customer,1.0,2,1
2322,Affluent Customer,0.4,0,2
2323,Mass Customer,0.7,2,1
2324,High Net Worth,0.2,1,0
2325,Mass Customer,0.4,2,1
2326,High Net Worth,0.6,1,0
2327,Mass Customer,0.4,2,1
2328,Affluent Customer,0.6,0,2
2329,Mass Customer,0.6,2,1
2330,Affluent Customer,0.6,0,2
2331,Mass Customer,0.7,2,1
2332,High Net Worth,0.5,1,0
2333,Mass Customer,0.4,2,1
2334,Mass Customer,0.4,2,1
2335,Affluent Customer,0.7,0,2
2336,High Net Worth,0.6,1,0
2337,Mass Customer,0.3,2,1
2338,Mass Customer,0.1,2,1
2339,Affluent Customer,0.6,0,2
2340,High Net Worth,0.7,1,0
2341,Mass Customer,0.7,2,1
2342,Mass Customer,0.4,2,1
2343,Mass Customer,0.8,2,1
2344,High Net Worth,0.8,1,0
2345,Affluent Customer,0.6,0,2
2346,Mass Customer,1.0,2,1
2347,High Net Worth,0.6,1,0
2348,Affluent Customer,0.8,0,2
2349,High Net Worth,0.7,1,0
2350,Mass Customer,0.6,2,1
2351,Mass Customer,0.6,2,1
2352,Mass Customer,0.6,2,1
2353,Mass Customer,0.1,2,1
2354,Mass Customer,0.1,2,1
2355,High Net Worth,0.9,1,0
2356,High Net Worth,0.6,1,0
2357,High Net Worth,0.6,1,0
2358,Mass Customer,0.7,2,1
2359,Mass Customer,0.7,2,1
2360,High Net Worth,0.9,1,0
2361,Affluent Customer,0.6,0,2
2362,Affluent Customer,0.0,0,2
2363,Mass Customer,0.6,2,1
2364,High Net Worth,0.4,1,0
2365,Mass Customer,0.7,2,1
2366,High Net Worth,0.4,1,0
2367,Mass Customer,0.1,2,1
2368,Affluent Customer,0.7,0,2
2369,Mass Customer,0.7,2,1
2370,Mass Customer,0.9,2,1
2371,High Net Worth,0.6,1,0
2372,Mass Customer,0.4,2,1
2373,High Net Worth,0.9,1,0
2374,Mass Customer,0.6,2,1
2375,Mass Customer,1.0,2,1
2376,High Net Worth,0.9,1,0
2377,Affluent Customer,0.3,0,2
2378,Mass Customer,0.8,2,1
2379,Mass Customer,0.0,2,1
2380,High Net Worth,0.4,1,0
2381,Mass Customer,0.2,2,1
2382,Affluent Customer,0.6,0,2
2383,High Net Worth,0.8,1,0
2384,Mass Customer,0.4,2,1
2385,Mass Customer,0.7,2,1
2386,Affluent Customer,0.7,0,2
2387,Affluent Customer,0.4,0,2
2388,Mass Customer,0.1,2,1
2389,Mass Customer,0.3,2,1
2390,Mass Customer,0.6,2,1
2391,Affluent Customer,0.6,0,2
2392,Mass Customer,0.0,2,1
2393,Mass Customer,0.5,2,1
2394,High Net Worth,0.2,1,0
2395,High Net Worth,0.8,1,0
2396,Affluent Customer,0.1,0,2
2397,Mass Customer,0.6,2,1
2398,Mass Customer,0.7,2,1
2399,Affluent Customer,0.8,0,2
2400,Affluent Customer,0.5,0,2
2401,Affluent Customer,0.9,0,2
2402,Mass Customer,0.7,2,1
2403,Mass Customer,0.4,2,1
2404,High Net Worth,0.2,1,0
2405,Mass Customer,0.4,2,1
2406,Affluent Customer,0.9,0,2
2407,Mass Customer,0.3,2,1
2408,High Net Worth,0.6,1,0
2409,High Net Worth,0.7,1,0
2410,Affluent Customer,0.3,0,2
2411,Mass Customer,0.4,2,1
2412,Affluent Customer,0.9,0,2
2413,Mass Customer,0.1,2,1
2414,High Net Worth,0.9,1,0
2415,High Net Worth,0.4,1,0
2416,High Net Worth,0.8,1,0
2417,High Net Worth,0.0,1,0
2418,Mass Customer,0.9,2,1
2419,Mass Customer,0.5,2,1
2420,Affluent Customer,0.6,0,2
2421,Mass Customer,0.4,2,1
2422,High Net Worth,0.9,1,0
2423,High Net Worth,0.6,1,0
2424,Affluent Customer,0.6,0,2
2425,Affluent Customer,0.4,0,2
2426,High Net Worth,0.4,1,0
2427,Affluent Customer,0.3,0,2
2428,High Net Worth,0.9,1,0
2429,High Net Worth,0.0,1,0
2430,High Net Worth,0.9,1,0
2431,Mass Customer,0.9,2,1
2432,Mass Customer,0.6,2,1
2433,Mass Customer,0.7,2,1
2434,High Net Worth,0.7,1,0
2435,Mass Customer,0.4,2,1
2436,Affluent Customer,0.6,0,2
2437,Mass Customer,0.7,2,1
2438,Affluent Customer,0.3,0,2
2439,Mass Customer,0.0,2,1
2440,Mass Customer,0.3,2,1
2441,High Net Worth,0.9,1,0
2442,Mass Customer,0.6,2,1
2443,Affluent Customer,0.7,0,2
2444,Affluent Customer,0.6,0,2
2445,Mass Customer,0.8,2,1
2446,High Net Worth,0.2,1,0
2447,Mass Customer,0.3,2,1
2448,Affluent Customer,0.3,0,2
2449,Mass Customer,0.6,2,1
2450,Mass Customer,0.9,2,1
2451,Mass Customer,0.6,2,1
2452,High Net Worth,0.6,1,0
2453,Mass Customer,0.6,2,1
2454,Affluent Customer,0.5,0,2
2455,Mass Customer,1.0,2,1
2456,High Net Worth,0.7,1,0
2457,High Net Worth,0.2,1,0
2458,High Net Worth,0.1,1,0
2459,Affluent Customer,0.8,0,2
2460,Mass Customer,0.9,2,1
2461,Mass Customer,0.9,2,1
2462,Affluent Customer,0.8,0,2
2463,High Net Worth,0.4,1,0
2464,Mass Customer,0.9,2,1
2465,Mass Customer,0.4,2,1
2466,Mass Customer,0.3,2,1
2467,High Net Worth,0.5,1,0
2468,Mass Customer,0.8,2,1
2469,Affluent Customer,0.7,0,2
2470,Mass Customer,0.3,2,1
2471,High Net Worth,0.0,1,0
2472,High Net Worth,0.4,1,0
2473,High Net Worth,0.3,1,0
2474,Affluent Customer,0.4,0,2
2475,Mass Customer,0.6,2,1
2476,High Net Worth,0.7,1,0
2477,Mass Customer,0.9,2,1
2478,Mass Customer,0.8,2,1
2479,High Net Worth,0.4,1,0
2480,Mass Customer,1.0,2,1
2481,Affluent Customer,0.6,0,2
2482,High Net Worth,0.5,1,0
2483,High Net Worth,0.8,1,0
2484,Affluent Customer,0.8,0,2
2485,Mass Customer,0.7,2,1
2486,Mass Customer,0.6,2,1
2487,Affluent Customer,0.6,0,2
2488,High Net Worth,0.7,1,0
2489,Mass Customer,0.6,2,1
2490,Mass Customer,0.6,2,1
2491,Affluent Customer,0.4,0,2
2492,Mass Customer,0.6,2,1
2493,Mass Customer,0.5,2,1
2494,Mass Customer,0.5,2,1
2495,High Net Worth,0.6,1,0
2496,Affluent Customer,0.7,0,2
2497,Mass Customer,0.6,2,1
2498,Mass Customer,0.2,2,1
2499,Mass Customer,0.9,2,1
2500,Mass Customer,0.4,2,1
2501,Mass Customer,0.9,2,1
2502,High Net Worth,0.7,1,0
2503,High Net Worth,0.8,1,0
2504,Affluent Customer,0.4,0,2
2505,High Net Worth,0.1,1,0
2506,Mass Customer,0.5,2,1
2507,Affluent Customer,0.7,0,2
2508,Mass Customer,1.0,2,1
2509,Affluent Customer,0.7,0,2
2510,Mass Customer,0.6,2,1
2511,Mass Customer,0.4,2,1
2512,Mass Customer,0.8,2,1
2513,Mass Customer,0.4,2,1
2514,High Net Worth,0.2,1,0
2515,High Net Worth,0.2,1,0
2516,Affluent Customer,0.5,0,2
2517,Mass Customer,0.4,2,1
2518,Mass Customer,0.6,2,1
2519,Affluent Customer,0.7,0,2
2520,Mass Customer,0.8,2,1
2521,Affluent Customer,0.7,0,2
2522,Affluent Customer,0.4,0,2
2523,Affluent Customer,0.3,0,2
2524,Mass Customer,0.2,2,1
2525,Affluent Customer,1.0,0,2
2526,Mass Customer,0.5,2,1
2527,Mass Customer,0.4,2,1
2528,Mass Customer,0.8,2,1
2529,Mass Customer,0.7,2,1
2530,High Net Worth,0.5,1,0
2531,Mass Customer,0.8,2,1
2532,Mass Customer,0.2,2,1
2533,Affluent Customer,0.6,0,2
2534,High Net Worth,0.9,1,0
2535,High Net Worth,0.8,1,0
2536,High Net Worth,0.3,1,0
2537,Mass Customer,0.4,2,1
2538,Mass Customer,0.3,2,1
2539,Mass Customer,0.1,2,1
2540,Affluent Customer,0.7,0,2
2541,High Net Worth,0.8,1,0
2542,Mass Customer,0.6,2,1
2543,Affluent Customer,1.0,0,2
2544,Affluent Customer,0.5,0,2
2545,Affluent Customer,0.1,0,2
2546,Affluent Customer,0.7,0,2
2547,High Net Worth,1.0,1,0
2548,Mass Customer,0.0,2,1
2549,Affluent Customer,0.5,0,2
2550,Mass Customer,0.6,2,1
2551,Mass Customer,0.6,2,1
2552,High Net Worth,0.4,1,0
2553,Mass Customer,0.5,2,1
2554,Affluent Customer,0.3,0,2
2555,Mass Customer,0.6,2,1
2556,Mass Customer,0.1,2,1
2557,Mass Customer,0.1,2,1
2558,Mass Customer,0.4,2,1
2559,High Net Worth,0.6,1,0
2560,Mass Customer,0.8,2,1
2561,High Net Worth,0.3,1,0
2562,Mass Customer,1.0,2,1
2563,Affluent Customer,0.7,0,2
2564,High Net Worth,0.4,1,0
2565,Mass Customer,0.7,2,1
2566,Mass Customer,0.1,2,1
2567,Mass Customer,0.4,2,1
2568,High Net Worth,0.6,1,0
2569,Mass Customer,0.3,2,1
2570,High Net Worth,0.6,1,0
2571,Affluent Customer,0.7,0,2
2572,Mass Customer,0.9,2,1
2573,High Net Worth,0.0,1,0
2574,Mass Customer,1.0,2,1
2575,Affluent Customer,0.6,0,2
2576,High Net Worth,0.3,1,0
2577,Mass Customer,0.5,2,1
2578,Mass Customer,0.4,2,1
2579,High Net Worth,0.9,1,0
2580,High Net Worth,0.0,1,0
2581,Affluent Customer,0.0,0,2
2582,Mass Customer,0.7,2,1
2583,High Net Worth,0.6,1,0
2584,Mass Customer,0.7,2,1
2585,Mass Customer,0.6,2,1
2586,High Net Worth,0.7,1,0
2587,Mass Customer,0.6,2,1
2588,Affluent Customer,0.1,0,2
2589,Mass Customer,0.1,2,1
2590,Mass Customer,0.5,2,1
2591,Mass Customer,0.2,2,1
2592,Mass Customer,0.9,2,1
2593,Mass Customer,0.4,2,1
2594,High Net Worth,0.3,1,0
2595,Affluent Customer,0.6,0,2
2596,Mass Customer,0.3,2,1
2597,Affluent Customer,0.2,0,2
2598,Mass Customer,0.6,2,1
2599,Mass Customer,0.7,2,1
2600,Mass Customer,0.5,2,1
2601,Mass Customer,0.9,2,1
2602,Mass Customer,0.7,2,1
2603,Affluent Customer,0.6,0,2
2604,Mass Customer,0.8,2,1
2605,Affluent Customer,0.8,0,2
2606,High Net Worth,0.6,1,0
2607,Affluent Customer,0.3,0,2
2608,Mass Customer,0.1,2,1
2609,Mass Customer,0.4,2,1
2610,High Net Worth,0.1,1,0
2611,Affluent Customer,0.8,0,2
2612,Mass Customer,0.9,2,1
2613,Mass Customer,0.8,2,1
2614,Mass Customer,0.6,2,1
2615,Affluent Customer,0.7,0,2
2616,Mass Customer,0.7,2,1
2617,Affluent Customer,0.5,0,2
2618,Mass Customer,0.6,2,1
2619,High Net Worth,0.8,1,0
2620,Mass Customer,0.3,2,1
2621,High Net Worth,0.0,1,0
2622,Mass Customer,0.4,2,1
2623,Affluent Customer,0.4,0,2
2624,Affluent Customer,0.6,0,2
2625,Mass Customer,0.7,2,1
2626,Affluent Customer,0.6,0,2
2627,Mass Customer,0.4,2,1
2628,Mass Customer,0.4,2,1
2629,Mass Customer,1.0,2,1
2630,Mass Customer,0.5,2,1
2631,Mass Customer,0.1,2,1
2632,Mass Customer,0.7,2,1
2633,Affluent Customer,1.0,0,2
2634,High Net Worth,0.3,1,0
2635,Mass Customer,0.6,2,1
2636,High Net Worth,1.0,1,0
2637,Affluent Customer,0.8,0,2
2638,Mass Customer,0.4,2,1
2639,Mass Customer,0.3,2,1
2640,Mass Customer,0.7,2,1
2641,High Net Worth,0.7,1,0
2642,Mass Customer,0.7,2,1
2643,Affluent Customer,0.3,0,2
2644,Affluent Customer,0.7,0,2
2645,High Net Worth,0.7,1,0
2646,Mass Customer,0.4,2,1
2647,Mass Customer,0.8,2,1
2648,High Net Worth,0.4,1,0
2649,Mass Customer,0.2,2,1
2650,Affluent Customer,0.3,0,2
2651,Mass Customer,0.2,2,1
2652,Mass Customer,0.3,2,1
2653,High Net Worth,0.8,1,0
2654,Mass Customer,0.7,2,1
2655,High Net Worth,0.6,1,0
2656,Affluent Customer,0.6,0,2
2657,Mass Customer,0.6,2,1
2658,Affluent Customer,0.5,0,2
2659,Mass Customer,1.0,2,1
2660,Mass Customer,0.9,2,1
2661,Mass Customer,0.8,2,1
2662,Affluent Customer,0.9,0,2
2663,Affluent Customer,1.0,0,2
2664,High Net Worth,0.3,1,0
2665,Mass Customer,0.6,2,1
2666,Mass Customer,0.8,2,1
2667,Mass Customer,0.3,2,1
2668,Mass Customer,0.6,2,1
2669,High Net Worth,0.9,1,0
2670,Mass Customer,1.0,2,1
2671,High Net Worth,0.6,1,0
2672,Mass Customer,0.9,2,1
2673,Mass Customer,0.7,2,1
2674,Mass Customer,0.2,2,1
2675,Affluent Customer,0.3,0,2
2676,Mass Customer,0.6,2,1
2677,Mass Customer,0.6,2,1
2678,Affluent Customer,0.8,0,2
2679,Mass Customer,0.3,2,1
2680,Affluent Customer,0.2,0,2
2681,Mass Customer,0.8,2,1
2682,Affluent Customer,0.4,0,2
2683,Mass Customer,0.0,2,1
2684,Mass Customer,0.7,2,1
2685,High Net Worth,0.1,1,0
2686,Mass Customer,0.5,2,1
2687,High Net Worth,0.1,1,0
2688,Affluent Customer,0.6,0,2
2689,Mass Customer,0.1,2,1
2690,High Net Worth,0.8,1,0
2691,Mass Customer,0.6,2,1
2692,Affluent Customer,0.4,0,2
2693,Mass Customer,0.3,2,1
2694,Mass Customer,0.9,2,1
2695,High Net Worth,0.5,1,0
2696,Mass Customer,0.0,2,1
2697,Mass Customer,0.0,2,1
2698,Affluent Customer,0.4,0,2
2699,Mass Customer,0.9,2,1
2700,High Net Worth,0.5,1,0
2701,High Net Worth,0.2,1,0
2702,High Net Worth,0.6,1,0
2703,Affluent Customer,0.7,0,2
2704,High Net Worth,0.6,1,0
2705,Affluent Customer,0.5,0,2
2706,Mass Customer,0.2,2,1
2707,Mass Customer,0.2,2,1
2708,Mass Customer,0.9,2,1
2709,Mass Customer,0.5,2,1
2710,Affluent Customer,0.5,0,2
2711,High Net Worth,0.9,1,0
2712,Affluent Customer,0.1,0,2
2713,Mass Customer,0.5,2,1
2714,Mass Customer,0.7,2,1
2715,Affluent Customer,0.7,0,2
2716,Affluent Customer,0.7,0,2
2717,Mass Customer,0.7,2,1
2718,Mass Customer,0.2,2,1
2719,Mass Customer,0.5,2,1
2720,Mass Customer,0.9,2,1
2721,Affluent Customer,0.9,0,2
2722,High Net Worth,0.6,1,0
2723,Mass Customer,0.1,2,1
2724,Mass Customer,0.6,2,1
2725,Mass Customer,0.7,2,1
2726,Affluent Customer,0.7,0,2
2727,High Net Worth,0.6,1,0
2728,Affluent Customer,0.1,0,2
2729,Affluent Customer,0.5,0,2
2730,Mass Customer,0.5,2,1
2731,Mass Customer,0.4,2,1
2732,High Net Worth,0.8,1,0
2733,Mass Customer,0.4,2,1
2734,Mass Customer,0.4,2,1
2735,Affluent Customer,0.7,0,2
2736,Mass Customer,0.5,2,1
2737,High Net Worth,0.4,1,0
2738,Mass Customer,0.9,2,1
2739,High Net Worth,0.9,1,0
2740,Mass Customer,0.1,2,1
2741,Mass Customer,0.5,2,1
2742,Mass Customer,0.9,2,1
2743,Mass Customer,0.9,2,1
2744,High Net Worth,0.9,1,0
2745,Mass Customer,0.9,2,1
2746,High Net Worth,0.4,1,0
2747,Affluent Customer,0.5,0,2
2748,Mass Customer,0.0,2,1
2749,High Net Worth,0.1,1,0
2750,Mass Customer,0.6,2,1
2751,High Net Worth,1.0,1,0
2752,Affluent Customer,0.4,0,2
2753,High Net Worth,0.9,1,0
2754,Affluent Customer,0.5,0,2
2755,Affluent Customer,0.7,0,2
2756,Affluent Customer,0.1,0,2
2757,Mass Customer,0.9,2,1
2758,Mass Customer,0.4,2,1
2759,High Net Worth,0.3,1,0
2760,High Net Worth,0.4,1,0
2761,Mass Customer,0.8,2,1
2762,Affluent Customer,0.8,0,2
2763,Affluent Customer,0.8,0,2
2764,Mass Customer,0.8,2,1
2765,High Net Worth,0.7,1,0
2766,Mass Customer,0.6,2,1
