,job_industry_category,RFM_Score ,job_category_encoded,cluster
1904,Financial Services,0.5,2,0
1905,Argiculture,0.5,0,0
1906,Retail,0.2,7,2
1907,Manufacturing,0.7,5,1
1908,Retail,0.3,7,2
1909,Financial Services,0.3,2,0
1910,IT,0.6,4,1
1911,Manufacturing,0.4,5,1
1912,Retail,0.7,7,2
1913,Health,0.3,3,0
1914,Financial Services,0.1,2,0
1915,Health,0.0,3,0
1916,Financial Services,0.9,2,0
1917,IT,0.4,4,1
1918,Manufacturing,0.9,5,1
1919,Entertainment,0.7,1,0
1920,Property,0.4,6,2
1921,Health,0.3,3,0
1922,Financial Services,0.9,2,0
1923,Financial Services,0.8,2,0
1924,Financial Services,0.2,2,0
1925,Manufacturing,0.6,5,1
1926,Retail,0.9,7,2
1927,IT,0.4,4,1
1928,Manufacturing,0.0,5,1
1929,Financial Services,0.1,2,0
1930,Retail,0.9,7,2
1931,IT,0.1,4,1
1932,Manufacturing,0.6,5,1
1933,Financial Services,0.3,2,0
1934,Entertainment,0.9,1,0
1935,Health,0.8,3,0
1936,Health,1.0,3,0
1937,Manufacturing,0.4,5,1
1938,Financial Services,0.1,2,0
1939,Financial Services,0.7,2,0
1940,Health,0.5,3,0
1941,Manufacturing,0.6,5,1
1942,Manufacturing,0.5,5,1
1943,Manufacturing,0.6,5,1
1944,Health,0.4,3,0
1945,Property,0.6,6,2
1946,Health,0.6,3,0
1947,Retail,0.6,7,2
1948,Retail,0.6,7,2
1949,Retail,0.8,7,2
1950,Manufacturing,0.9,5,1
1951,Financial Services,0.7,2,0
1952,IT,0.7,4,1
1953,Health,0.6,3,0
1954,Manufacturing,0.2,5,1
1955,Manufacturing,0.7,5,1
1956,Health,0.6,3,0
1957,Property,0.9,6,2
1958,Entertainment,0.6,1,0
1959,Entertainment,0.1,1,0
1960,Manufacturing,0.4,5,1
1961,Health,0.7,3,0
1962,Telecommunications,0.5,8,2
1963,IT,0.2,4,1
1964,Financial Services,0.5,2,0
1965,Manufacturing,0.9,5,1
1966,Health,0.7,3,0
1967,Health,0.7,3,0
1968,Retail,1.0,7,2
1969,Financial Services,0.8,2,0
1970,Manufacturing,0.6,5,1
1971,Retail,0.5,7,2
1972,Manufacturing,0.6,5,1
1973,Property,0.7,6,2
1974,Argiculture,0.6,0,0
1975,Health,0.6,3,0
1976,Retail,0.9,7,2
1977,Manufacturing,0.6,5,1
1978,Retail,0.5,7,2
1979,Financial Services,0.3,2,0
1980,Financial Services,0.4,2,0
1981,Financial Services,1.0,2,0
1982,Manufacturing,0.7,5,1
1983,Health,0.7,3,0
1984,Financial Services,1.0,2,0
1985,Financial Services,0.5,2,0
1986,Financial Services,1.0,2,0
1987,Financial Services,0.6,2,0
1988,Manufacturing,0.7,5,1
1989,Manufacturing,0.6,5,1
1990,Health,0.4,3,0
1991,Manufacturing,0.3,5,1
1992,Property,0.3,6,2
1993,Manufacturing,0.7,5,1
1994,Health,0.5,3,0
1995,Property,0.3,6,2
1996,Argiculture,0.7,0,0
1997,Telecommunications,0.5,8,2
1998,Property,0.8,6,2
1999,Retail,0.6,7,2
2000,Health,0.9,3,0
2001,Health,0.8,3,0
2002,Manufacturing,0.7,5,1
2003,Financial Services,0.9,2,0
2004,Property,0.4,6,2
2005,Retail,0.2,7,2
2006,Argiculture,0.6,0,0
2007,Manufacturing,0.7,5,1
2008,Retail,0.7,7,2
2009,Financial Services,0.6,2,0
2010,Manufacturing,0.7,5,1
2011,Argiculture,0.8,0,0
2012,Retail,0.4,7,2
2013,Manufacturing,0.6,5,1
2014,Manufacturing,0.5,5,1
2015,IT,0.6,4,1
2016,Financial Services,0.4,2,0
2017,Health,0.6,3,0
2018,Entertainment,0.7,1,0
2019,IT,0.4,4,1
2020,Manufacturing,0.8,5,1
2021,Argiculture,0.4,0,0
2022,Financial Services,1.0,2,0
2023,Manufacturing,0.5,5,1
2024,Health,0.6,3,0
2025,Manufacturing,0.7,5,1
2026,Financial Services,0.8,2,0
2027,Argiculture,0.4,0,0
2028,Retail,0.7,7,2
2029,Entertainment,0.6,1,0
2030,Property,0.7,6,2
2031,Financial Services,1.0,2,0
2032,Property,0.7,6,2
2033,Property,0.4,6,2
2034,Argiculture,0.5,0,0
2035,Manufacturing,0.2,5,1
2036,Manufacturing,0.7,5,1
2037,Manufacturing,0.1,5,1
2038,Financial Services,1.0,2,0
2039,Entertainment,0.6,1,0
2040,IT,0.8,4,1
2041,Health,1.0,3,0
2042,Financial Services,0.6,2,0
2043,Manufacturing,0.5,5,1
2044,Property,1.0,6,2
2045,Manufacturing,0.1,5,1
2046,Financial Services,0.7,2,0
2047,Property,0.9,6,2
2048,Financial Services,0.9,2,0
2049,Property,0.0,6,2
2050,Entertainment,0.8,1,0
2051,Manufacturing,0.6,5,1
2052,Retail,0.6,7,2
2053,IT,0.5,4,1
2054,Health,0.2,3,0
2055,Health,0.8,3,0
2056,Financial Services,0.8,2,0
2057,Manufacturing,0.3,5,1
2058,Manufacturing,0.4,5,1
2059,Financial Services,0.3,2,0
2060,Property,0.6,6,2
2061,Retail,0.8,7,2
2062,Property,0.4,6,2
2063,Financial Services,0.5,2,0
2064,Entertainment,0.3,1,0
2065,Health,0.1,3,0
2066,Financial Services,0.4,2,0
2067,Retail,0.9,7,2
2068,Financial Services,0.7,2,0
2069,Health,1.0,3,0
2070,Entertainment,0.5,1,0
2071,Financial Services,0.1,2,0
2072,Health,0.6,3,0
2073,Property,0.3,6,2
2074,IT,0.7,4,1
2075,Financial Services,0.9,2,0
2076,IT,0.1,4,1
2077,Property,0.8,6,2
2078,Manufacturing,0.1,5,1
2079,Manufacturing,0.6,5,1
2080,Retail,0.4,7,2
2081,Financial Services,0.6,2,0
2082,Financial Services,0.8,2,0
2083,Health,0.8,3,0
2084,IT,0.6,4,1
2085,Manufacturing,0.7,5,1
2086,Property,0.6,6,2
2087,Health,0.7,3,0
2088,Financial Services,0.3,2,0
2089,Argiculture,0.6,0,0
2090,Health,0.8,3,0
2091,Health,0.6,3,0
2092,Manufacturing,0.2,5,1
2093,Financial Services,0.8,2,0
2094,Retail,0.6,7,2
2095,Health,0.6,3,0
2096,Health,1.0,3,0
2097,Retail,0.2,7,2
2098,Financial Services,0.9,2,0
2099,Manufacturing,0.6,5,1
2100,Property,0.7,6,2
2101,Property,0.8,6,2
2102,Manufacturing,0.9,5,1
2103,Health,0.4,3,0
2104,Financial Services,0.4,2,0
2105,Telecommunications,0.3,8,2
2106,Health,0.8,3,0
2107,Manufacturing,0.8,5,1
2108,Retail,0.6,7,2
2109,IT,0.5,4,1
2110,Financial Services,0.5,2,0
2111,Health,0.7,3,0
2112,Financial Services,1.0,2,0
2113,Manufacturing,0.8,5,1
2114,Telecommunications,0.6,8,2
2115,Financial Services,0.8,2,0
2116,Financial Services,0.7,2,0
2117,Manufacturing,0.9,5,1
2118,Argiculture,0.9,0,0
2119,Manufacturing,0.6,5,1
2120,Retail,0.2,7,2
2121,Manufacturing,0.5,5,1
2122,Health,0.5,3,0
2123,Manufacturing,0.9,5,1
2124,Property,0.5,6,2
2125,Manufacturing,0.4,5,1
2126,Health,0.4,3,0
2127,Telecommunications,0.6,8,2
2128,Property,0.4,6,2
2129,Financial Services,0.4,2,0
2130,Manufacturing,0.7,5,1
2131,Financial Services,0.8,2,0
2132,Financial Services,0.1,2,0
2133,Health,0.8,3,0
2134,Financial Services,0.9,2,0
2135,Financial Services,0.6,2,0
2136,Health,0.7,3,0
2137,Manufacturing,0.7,5,1
2138,Manufacturing,0.4,5,1
2139,IT,0.7,4,1
2140,Argiculture,0.3,0,0
2141,Telecommunications,0.8,8,2
2142,Manufacturing,0.6,5,1
2143,Property,0.6,6,2
2144,Health,0.8,3,0
2145,Health,0.4,3,0
2146,Manufacturing,0.6,5,1
2147,Manufacturing,0.6,5,1
2148,IT,0.6,4,1
2149,Retail,0.4,7,2
2150,Retail,0.5,7,2
2151,Entertainment,0.4,1,0
2152,Financial Services,0.5,2,0
2153,Retail,0.7,7,2
2154,Retail,0.9,7,2
2155,Manufacturing,0.7,5,1
2156,Manufacturing,0.5,5,1
2157,Health,0.6,3,0
2158,Telecommunications,0.4,8,2
2159,Financial Services,0.7,2,0
2160,Manufacturing,0.7,5,1
2161,Financial Services,0.1,2,0
2162,Manufacturing,0.5,5,1
2163,Financial Services,0.4,2,0
2164,Argiculture,0.7,0,0
2165,Telecommunications,0.3,8,2
2166,Financial Services,0.5,2,0
2167,Financial Services,0.8,2,0
2168,Retail,0.7,7,2
2169,Manufacturing,0.7,5,1
2170,Health,0.9,3,0
2171,Manufacturing,0.4,5,1
2172,IT,0.5,4,1
2173,Health,0.6,3,0
2174,Retail,0.3,7,2
2175,Manufacturing,1.0,5,1
2176,Manufacturing,0.7,5,1
2177,Financial Services,0.7,2,0
2178,Financial Services,0.8,2,0
2179,Manufacturing,0.7,5,1
2180,Manufacturing,0.6,5,1
2181,Financial Services,0.6,2,0
2182,Manufacturing,0.9,5,1
2183,Financial Services,0.9,2,0
2184,Argiculture,0.5,0,0
2185,Financial Services,0.5,2,0
2186,Health,0.1,3,0
2187,Health,0.9,3,0
2188,Financial Services,0.4,2,0
2189,Manufacturing,0.7,5,1
2190,Manufacturing,0.4,5,1
2191,Manufacturing,0.7,5,1
2192,Financial Services,0.9,2,0
2193,Financial Services,0.5,2,0
2194,Entertainment,0.3,1,0
2195,Argiculture,0.5,0,0
2196,Health,0.6,3,0
2197,IT,0.6,4,1
2198,Manufacturing,0.5,5,1
2199,Financial Services,0.6,2,0
2200,Property,0.9,6,2
2201,Argiculture,0.5,0,0
2202,Property,0.7,6,2
2203,Entertainment,0.4,1,0
2204,Financial Services,0.8,2,0
2205,Financial Services,0.8,2,0
2206,Manufacturing,0.4,5,1
2207,Health,0.4,3,0
2208,Retail,0.6,7,2
2209,Health,0.4,3,0
2210,Retail,0.4,7,2
2211,Property,0.8,6,2
2212,Health,0.9,3,0
2213,Manufacturing,0.5,5,1
2214,Telecommunications,0.1,8,2
2215,Financial Services,1.0,2,0
2216,Manufacturing,0.4,5,1
2217,Financial Services,0.8,2,0
2218,Financial Services,0.9,2,0
2219,Entertainment,0.6,1,0
2220,Financial Services,0.4,2,0
2221,Property,0.2,6,2
2222,Manufacturing,0.8,5,1
2223,Financial Services,1.0,2,0
2224,Financial Services,0.7,2,0
2225,Health,1.0,3,0
2226,Property,0.8,6,2
2227,Health,0.8,3,0
2228,Retail,1.0,7,2
2229,Financial Services,0.9,2,0
2230,Retail,0.8,7,2
2231,Financial Services,0.6,2,0
2232,Manufacturing,0.7,5,1
2233,Financial Services,0.6,2,0
2234,Health,0.4,3,0
2235,IT,0.5,4,1
2236,Argiculture,0.6,0,0
2237,Financial Services,0.4,2,0
2238,Health,0.6,3,0
2239,Retail,0.7,7,2
2240,Health,0.9,3,0
2241,Health,1.0,3,0
2242,Health,0.6,3,0
2243,Financial Services,0.3,2,0
2244,Entertainment,0.7,1,0
2245,Entertainment,0.2,1,0
2246,Manufacturing,0.4,5,1
2247,Health,0.9,3,0
2248,IT,0.8,4,1
2249,Retail,0.0,7,2
2250,Argiculture,0.4,0,0
2251,Manufacturing,0.6,5,1
2252,Health,0.8,3,0
2253,Financial Services,0.7,2,0
2254,Property,0.9,6,2
2255,Financial Services,1.0,2,0
2256,Manufacturing,0.4,5,1
2257,Argiculture,0.7,0,0
2258,Health,0.3,3,0
2259,Health,0.3,3,0
2260,Financial Services,0.4,2,0
2261,Health,0.3,3,0
2262,Property,0.7,6,2
2263,Financial Services,1.0,2,0
2264,Manufacturing,0.3,5,1
2265,Manufacturing,1.0,5,1
2266,Manufacturing,0.9,5,1
2267,Manufacturing,1.0,5,1
2268,Financial Services,0.3,2,0
2269,Telecommunications,0.0,8,2
2270,Financial Services,0.2,2,0
2271,Health,0.8,3,0
2272,Financial Services,0.9,2,0
2273,Manufacturing,0.5,5,1
2274,Retail,0.2,7,2
2275,Financial Services,0.7,2,0
2276,Manufacturing,0.0,5,1
2277,Health,0.9,3,0
2278,Health,0.8,3,0
2279,Manufacturing,0.8,5,1
2280,Property,0.4,6,2
2281,Financial Services,0.7,2,0
2282,Manufacturing,0.3,5,1
2283,Telecommunications,0.4,8,2
2284,Retail,0.7,7,2
2285,Financial Services,0.3,2,0
2286,Argiculture,0.3,0,0
2287,Health,0.4,3,0
2288,Financial Services,0.8,2,0
2289,Health,0.8,3,0
2290,Property,0.9,6,2
2291,Manufacturing,0.7,5,1
2292,IT,0.2,4,1
2293,Property,0.1,6,2
2294,Manufacturing,0.3,5,1
2295,Financial Services,0.5,2,0
2296,Health,0.7,3,0
2297,Manufacturing,1.0,5,1
2298,Financial Services,0.7,2,0
2299,Financial Services,0.7,2,0
2300,Manufacturing,0.6,5,1
2301,Manufacturing,0.8,5,1
2302,Property,0.7,6,2
2303,Financial Services,0.4,2,0
2304,Manufacturing,0.6,5,1
2305,Manufacturing,0.8,5,1
2306,Financial Services,0.6,2,0
2307,Health,0.6,3,0
2308,Retail,0.6,7,2
2309,IT,0.4,4,1
2310,Telecommunications,0.8,8,2
2311,Manufacturing,0.7,5,1
2312,Health,0.7,3,0
2313,Manufacturing,0.8,5,1
2314,Health,0.4,3,0
2315,Financial Services,0.8,2,0
2316,Financial Services,0.7,2,0
2317,IT,0.2,4,1
2318,Financial Services,0.7,2,0
2319,Financial Services,0.9,2,0
2320,Financial Services,0.4,2,0
2321,Financial Services,1.0,2,0
2322,Manufacturing,0.4,5,1
2323,Health,0.7,3,0
2324,Health,0.2,3,0
2325,Retail,0.4,7,2
2326,Financial Services,0.6,2,0
2327,IT,0.4,4,1
2328,Financial Services,0.6,2,0
2329,Health,0.6,3,0
2330,Health,0.6,3,0
2331,Financial Services,0.7,2,0
2332,Property,0.5,6,2
2333,Retail,0.4,7,2
2334,Manufacturing,0.4,5,1
2335,Manufacturing,0.7,5,1
2336,Financial Services,0.6,2,0
2337,Manufacturing,0.3,5,1
2338,Manufacturing,0.1,5,1
2339,Manufacturing,0.6,5,1
2340,Manufacturing,0.7,5,1
2341,Manufacturing,0.7,5,1
2342,Retail,0.4,7,2
2343,Property,0.8,6,2
2344,Financial Services,0.8,2,0
2345,Health,0.6,3,0
2346,Retail,1.0,7,2
2347,Property,0.6,6,2
2348,IT,0.8,4,1
2349,Manufacturing,0.7,5,1
2350,Financial Services,0.6,2,0
2351,Financial Services,0.6,2,0
2352,IT,0.6,4,1
2353,Manufacturing,0.1,5,1
2354,Health,0.1,3,0
2355,Retail,0.9,7,2
2356,Manufacturing,0.6,5,1
2357,Health,0.6,3,0
2358,Argiculture,0.7,0,0
2359,Retail,0.7,7,2
2360,Manufacturing,0.9,5,1
2361,Manufacturing,0.6,5,1
2362,Manufacturing,0.0,5,1
2363,Health,0.6,3,0
2364,Property,0.4,6,2
2365,Manufacturing,0.7,5,1
2366,Entertainment,0.4,1,0
2367,Manufacturing,0.1,5,1
2368,Property,0.7,6,2
2369,Financial Services,0.7,2,0
2370,Manufacturing,0.9,5,1
2371,Health,0.6,3,0
2372,Property,0.4,6,2
2373,Retail,0.9,7,2
2374,Property,0.6,6,2
2375,Health,1.0,3,0
2376,Health,0.9,3,0
2377,Health,0.3,3,0
2378,Health,0.8,3,0
2379,Financial Services,0.0,2,0
2380,Argiculture,0.4,0,0
2381,IT,0.2,4,1
2382,Manufacturing,0.6,5,1
2383,Financial Services,0.8,2,0
2384,Manufacturing,0.4,5,1
2385,Financial Services,0.7,2,0
2386,Manufacturing,0.7,5,1
2387,Manufacturing,0.4,5,1
2388,Manufacturing,0.1,5,1
2389,Health,0.3,3,0
2390,IT,0.6,4,1
2391,Financial Services,0.6,2,0
2392,Manufacturing,0.0,5,1
2393,Manufacturing,0.5,5,1
2394,Financial Services,0.2,2,0
2395,Argiculture,0.8,0,0
2396,Financial Services,0.1,2,0
2397,Financial Services,0.6,2,0
2398,Manufacturing,0.7,5,1
2399,Manufacturing,0.8,5,1
2400,Financial Services,0.5,2,0
2401,Financial Services,0.9,2,0
2402,Financial Services,0.7,2,0
2403,Health,0.4,3,0
2404,Property,0.2,6,2
2405,Health,0.4,3,0
2406,Health,0.9,3,0
2407,Health,0.3,3,0
2408,Financial Services,0.6,2,0
2409,Argiculture,0.7,0,0
2410,Property,0.3,6,2
2411,Financial Services,0.4,2,0
2412,Property,0.9,6,2
2413,IT,0.1,4,1
2414,Retail,0.9,7,2
2415,Health,0.4,3,0
2416,Property,0.8,6,2
2417,Manufacturing,0.0,5,1
2418,Entertainment,0.9,1,0
2419,Argiculture,0.5,0,0
2420,IT,0.6,4,1
2421,Health,0.4,3,0
2422,Financial Services,0.9,2,0
2423,Manufacturing,0.6,5,1
2424,Health,0.6,3,0
2425,Health,0.4,3,0
2426,Manufacturing,0.4,5,1
2427,Manufacturing,0.3,5,1
2428,Manufacturing,0.9,5,1
2429,Property,0.0,6,2
2430,Financial Services,0.9,2,0
2431,Property,0.9,6,2
2432,Manufacturing,0.6,5,1
2433,Manufacturing,0.7,5,1
2434,Manufacturing,0.7,5,1
2435,Retail,0.4,7,2
2436,Manufacturing,0.6,5,1
2437,Manufacturing,0.7,5,1
2438,Property,0.3,6,2
2439,Financial Services,0.0,2,0
2440,Financial Services,0.3,2,0
2441,Financial Services,0.9,2,0
2442,Financial Services,0.6,2,0
2443,Manufacturing,0.7,5,1
2444,Manufacturing,0.6,5,1
2445,Health,0.8,3,0
2446,Health,0.2,3,0
2447,Health,0.3,3,0
2448,Financial Services,0.3,2,0
2449,Property,0.6,6,2
2450,Financial Services,0.9,2,0
2451,Health,0.6,3,0
2452,Health,0.6,3,0
2453,Health,0.6,3,0
2454,Retail,0.5,7,2
2455,Health,1.0,3,0
2456,Retail,0.7,7,2
2457,Health,0.2,3,0
2458,Health,0.1,3,0
2459,Retail,0.8,7,2
2460,Manufacturing,0.9,5,1
2461,Retail,0.9,7,2
2462,Retail,0.8,7,2
2463,Health,0.4,3,0
2464,Financial Services,0.9,2,0
2465,Health,0.4,3,0
2466,Manufacturing,0.3,5,1
2467,Financial Services,0.5,2,0
2468,Health,0.8,3,0
2469,Manufacturing,0.7,5,1
2470,Manufacturing,0.3,5,1
2471,IT,0.0,4,1
2472,IT,0.4,4,1
2473,Health,0.3,3,0
2474,Retail,0.4,7,2
2475,Financial Services,0.6,2,0
2476,Entertainment,0.7,1,0
2477,Health,0.9,3,0
2478,Retail,0.8,7,2
2479,Financial Services,0.4,2,0
2480,Health,1.0,3,0
2481,Financial Services,0.6,2,0
2482,Financial Services,0.5,2,0
2483,Financial Services,0.8,2,0
2484,Financial Services,0.8,2,0
2485,Property,0.7,6,2
2486,Manufacturing,0.6,5,1
2487,Retail,0.6,7,2
2488,Health,0.7,3,0
2489,Property,0.6,6,2
2490,Health,0.6,3,0
2491,Manufacturing,0.4,5,1
2492,IT,0.6,4,1
2493,Health,0.5,3,0
2494,Manufacturing,0.5,5,1
2495,Property,0.6,6,2
2496,Financial Services,0.7,2,0
2497,Manufacturing,0.6,5,1
2498,Health,0.2,3,0
2499,Manufacturing,0.9,5,1
2500,Retail,0.4,7,2
2501,Financial Services,0.9,2,0
2502,Property,0.7,6,2
2503,Health,0.8,3,0
2504,Manufacturing,0.4,5,1
2505,Argiculture,0.1,0,0
2506,Manufacturing,0.5,5,1
2507,Manufacturing,0.7,5,1
2508,Financial Services,1.0,2,0
2509,Manufacturing,0.7,5,1
2510,Manufacturing,0.6,5,1
2511,Retail,0.4,7,2
2512,Argiculture,0.8,0,0
2513,Financial Services,0.4,2,0
2514,Financial Services,0.2,2,0
2515,Manufacturing,0.2,5,1
2516,Manufacturing,0.5,5,1
2517,Financial Services,0.4,2,0
2518,Property,0.6,6,2
2519,Manufacturing,0.7,5,1
2520,Manufacturing,0.8,5,1
2521,Manufacturing,0.7,5,1
2522,Entertainment,0.4,1,0
2523,Entertainment,0.3,1,0
2524,Financial Services,0.2,2,0
2525,Financial Services,1.0,2,0
2526,Manufacturing,0.5,5,1
2527,Retail,0.4,7,2
2528,Health,0.8,3,0
2529,Manufacturing,0.7,5,1
2530,Financial Services,0.5,2,0
2531,Health,0.8,3,0
2532,IT,0.2,4,1
2533,Property,0.6,6,2
2534,Manufacturing,0.9,5,1
2535,Health,0.8,3,0
2536,Financial Services,0.3,2,0
2537,Health,0.4,3,0
2538,Property,0.3,6,2
2539,Health,0.1,3,0
2540,IT,0.7,4,1
2541,Financial Services,0.8,2,0
2542,Retail,0.6,7,2
2543,Property,1.0,6,2
2544,Manufacturing,0.5,5,1
2545,Retail,0.1,7,2
2546,Property,0.7,6,2
2547,Health,1.0,3,0
2548,Financial Services,0.0,2,0
2549,Financial Services,0.5,2,0
2550,Health,0.6,3,0
2551,Health,0.6,3,0
2552,Retail,0.4,7,2
2553,IT,0.5,4,1
2554,Health,0.3,3,0
2555,Financial Services,0.6,2,0
2556,Entertainment,0.1,1,0
2557,Financial Services,0.1,2,0
2558,Financial Services,0.4,2,0
2559,Property,0.6,6,2
2560,Manufacturing,0.8,5,1
2561,Health,0.3,3,0
2562,Health,1.0,3,0
2563,Financial Services,0.7,2,0
2564,Health,0.4,3,0
2565,Entertainment,0.7,1,0
2566,Manufacturing,0.1,5,1
2567,Manufacturing,0.4,5,1
2568,Manufacturing,0.6,5,1
2569,Health,0.3,3,0
2570,Entertainment,0.6,1,0
2571,Financial Services,0.7,2,0
2572,Financial Services,0.9,2,0
2573,Manufacturing,0.0,5,1
2574,Financial Services,1.0,2,0
2575,Entertainment,0.6,1,0
2576,Health,0.3,3,0
2577,Health,0.5,3,0
2578,Manufacturing,0.4,5,1
2579,Retail,0.9,7,2
2580,Financial Services,0.0,2,0
2581,Property,0.0,6,2
2582,Argiculture,0.7,0,0
2583,Manufacturing,0.6,5,1
2584,Retail,0.7,7,2
2585,Manufacturing,0.6,5,1
2586,Retail,0.7,7,2
2587,Financial Services,0.6,2,0
2588,Health,0.1,3,0
2589,Retail,0.1,7,2
2590,Manufacturing,0.5,5,1
2591,Financial Services,0.2,2,0
2592,Financial Services,0.9,2,0
2593,Financial Services,0.4,2,0
2594,Retail,0.3,7,2
2595,Financial Services,0.6,2,0
2596,Financial Services,0.3,2,0
2597,Financial Services,0.2,2,0
2598,IT,0.6,4,1
2599,Financial Services,0.7,2,0
2600,Retail,0.5,7,2
2601,Financial Services,0.9,2,0
2602,Health,0.7,3,0
2603,Retail,0.6,7,2
2604,Entertainment,0.8,1,0
2605,Financial Services,0.8,2,0
2606,Financial Services,0.6,2,0
2607,Manufacturing,0.3,5,1
2608,Argiculture,0.1,0,0
2609,Entertainment,0.4,1,0
2610,Property,0.1,6,2
2611,Financial Services,0.8,2,0
2612,IT,0.9,4,1
2613,Financial Services,0.8,2,0
2614,Manufacturing,0.6,5,1
2615,IT,0.7,4,1
2616,Manufacturing,0.7,5,1
2617,Financial Services,0.5,2,0
2618,Financial Services,0.6,2,0
2619,Entertainment,0.8,1,0
2620,Retail,0.3,7,2
2621,Retail,0.0,7,2
2622,Argiculture,0.4,0,0
2623,Financial Services,0.4,2,0
2624,Manufacturing,0.6,5,1
2625,Health,0.7,3,0
2626,Financial Services,0.6,2,0
2627,Manufacturing,0.4,5,1
2628,Manufacturing,0.4,5,1
2629,Financial Services,1.0,2,0
2630,Financial Services,0.5,2,0
2631,Financial Services,0.1,2,0
2632,Financial Services,0.7,2,0
2633,Property,1.0,6,2
2634,Manufacturing,0.3,5,1
2635,Manufacturing,0.6,5,1
2636,Telecommunications,1.0,8,2
2637,Telecommunications,0.8,8,2
2638,Financial Services,0.4,2,0
2639,Property,0.3,6,2
2640,Telecommunications,0.7,8,2
2641,Retail,0.7,7,2
2642,Retail,0.7,7,2
2643,Retail,0.3,7,2
2644,Property,0.7,6,2
2645,Manufacturing,0.7,5,1
2646,Telecommunications,0.4,8,2
2647,Manufacturing,0.8,5,1
2648,Financial Services,0.4,2,0
2649,Telecommunications,0.2,8,2
2650,Manufacturing,0.3,5,1
2651,Financial Services,0.2,2,0
2652,Financial Services,0.3,2,0
2653,Health,0.8,3,0
2654,Financial Services,0.7,2,0
2655,Health,0.6,3,0
2656,Health,0.6,3,0
2657,Health,0.6,3,0
2658,Manufacturing,0.5,5,1
2659,Manufacturing,1.0,5,1
2660,Retail,0.9,7,2
2661,Financial Services,0.8,2,0
2662,Manufacturing,0.9,5,1
2663,Health,1.0,3,0
2664,Retail,0.3,7,2
2665,Manufacturing,0.6,5,1
2666,Retail,0.8,7,2
2667,Property,0.3,6,2
2668,Retail,0.6,7,2
2669,Argiculture,0.9,0,0
2670,Health,1.0,3,0
2671,Manufacturing,0.6,5,1
2672,Health,0.9,3,0
2673,Entertainment,0.7,1,0
2674,Property,0.2,6,2
2675,Argiculture,0.3,0,0
2676,Health,0.6,3,0
2677,Retail,0.6,7,2
2678,Manufacturing,0.8,5,1
2679,Manufacturing,0.3,5,1
2680,Financial Services,0.2,2,0
2681,IT,0.8,4,1
2682,Entertainment,0.4,1,0
2683,Financial Services,0.0,2,0
2684,Financial Services,0.7,2,0
2685,Financial Services,0.1,2,0
2686,Financial Services,0.5,2,0
2687,Retail,0.1,7,2
2688,Manufacturing,0.6,5,1
2689,Financial Services,0.1,2,0
2690,Retail,0.8,7,2
2691,Property,0.6,6,2
2692,Manufacturing,0.4,5,1
2693,Retail,0.3,7,2
2694,Telecommunications,0.9,8,2
2695,Financial Services,0.5,2,0
2696,Financial Services,0.0,2,0
2697,Manufacturing,0.0,5,1
2698,Argiculture,0.4,0,0
2699,IT,0.9,4,1
2700,Manufacturing,0.5,5,1
2701,Health,0.2,3,0
2702,Retail,0.6,7,2
2703,Manufacturing,0.7,5,1
2704,Manufacturing,0.6,5,1
2705,Manufacturing,0.5,5,1
2706,Financial Services,0.2,2,0
2707,Manufacturing,0.2,5,1
2708,Health,0.9,3,0
2709,Property,0.5,6,2
2710,Financial Services,0.5,2,0
2711,Retail,0.9,7,2
2712,Health,0.1,3,0
2713,Financial Services,0.5,2,0
2714,Manufacturing,0.7,5,1
2715,IT,0.7,4,1
2716,Property,0.7,6,2
2717,Telecommunications,0.7,8,2
2718,Manufacturing,0.2,5,1
2719,Health,0.5,3,0
2720,Health,0.9,3,0
2721,Financial Services,0.9,2,0
2722,Manufacturing,0.6,5,1
2723,Retail,0.1,7,2
2724,Argiculture,0.6,0,0
2725,Property,0.7,6,2
2726,IT,0.7,4,1
2727,Financial Services,0.6,2,0
2728,Financial Services,0.1,2,0
2729,Health,0.5,3,0
2730,Manufacturing,0.5,5,1
2731,Health,0.4,3,0
2732,Health,0.8,3,0
2733,Property,0.4,6,2
2734,Entertainment,0.4,1,0
2735,Manufacturing,0.7,5,1
2736,Financial Services,0.5,2,0
2737,Financial Services,0.4,2,0
2738,Retail,0.9,7,2
2739,Health,0.9,3,0
2740,Health,0.1,3,0
2741,Manufacturing,0.5,5,1
2742,Financial Services,0.9,2,0
2743,Health,0.9,3,0
2744,Manufacturing,0.9,5,1
2745,Retail,0.9,7,2
2746,Health,0.4,3,0
2747,Manufacturing,0.5,5,1
2748,Financial Services,0.0,2,0
2749,Financial Services,0.1,2,0
2750,Property,0.6,6,2
2751,Health,1.0,3,0
2752,Manufacturing,0.4,5,1
2753,Financial Services,0.9,2,0
2754,Health,0.5,3,0
2755,Health,0.7,3,0
2756,Retail,0.1,7,2
2757,Property,0.9,6,2
2758,Health,0.4,3,0
2759,Financial Services,0.3,2,0
2760,Property,0.4,6,2
2761,Health,0.8,3,0
2762,Financial Services,0.8,2,0
2763,Retail,0.8,7,2
2764,Manufacturing,0.8,5,1
2765,IT,0.7,4,1
2766,Retail,0.6,7,2
2767,Manufacturing,0.8,5,1
2768,Financial Services,0.1,2,0
2769,Retail,0.0,7,2
2770,Retail,0.7,7,2
2771,Manufacturing,0.5,5,1
