,owns_car,RFM_Score ,owns_car_encoded,cluster
2988,No,0.7,0,0
2989,Yes,0.7,1,1
2990,No,0.7,0,0
2991,Yes,0.7,1,1
2992,Yes,0.4,1,1
2993,Yes,0.7,1,1
2994,No,0.2,0,2
2995,Yes,0.4,1,1
2996,Yes,0.5,1,1
2997,Yes,0.5,1,1
2998,Yes,0.8,1,1
2999,Yes,0.7,1,1
3000,Yes,0.5,1,1
3001,Yes,1.0,1,1
3002,Yes,0.7,1,1
3003,Yes,0.7,1,1
3004,No,0.1,0,2
3005,No,0.8,0,0
3006,No,0.7,0,0
3007,Yes,0.3,1,1
3008,Yes,0.6,1,1
3009,No,0.8,0,0
3010,No,0.3,0,2
3011,No,0.7,0,0
3012,Yes,0.8,1,1
3013,No,0.9,0,0
3014,Yes,0.9,1,1
3015,Yes,0.9,1,1
3016,Yes,0.6,1,1
3017,No,0.7,0,0
3018,Yes,0.6,1,1
3019,No,0.2,0,2
3020,Yes,0.6,1,1
3021,Yes,0.3,1,1
3022,Yes,1.0,1,1
3023,No,1.0,0,0
3024,Yes,0.9,1,1
3025,Yes,0.0,1,1
3026,Yes,0.6,1,1
3027,Yes,0.8,1,1
3028,Yes,0.7,1,1
3029,Yes,0.4,1,1
3030,Yes,0.4,1,1
3031,Yes,0.5,1,1
3032,Yes,0.6,1,1
3033,No,0.1,0,2
3034,No,0.6,0,0
3035,No,0.9,0,0
3036,Yes,0.9,1,1
3037,Yes,0.1,1,1
3038,No,0.9,0,0
3039,Yes,0.1,1,1
3040,Yes,0.7,1,1
3041,Yes,0.2,1,1
3042,No,0.9,0,0
3043,No,0.4,0,2
3044,No,1.0,0,0
3045,Yes,0.5,1,1
3046,Yes,0.6,1,1
3047,No,0.8,0,0
3048,No,0.4,0,2
3049,No,0.3,0,2
3050,No,0.9,0,0
3051,Yes,0.5,1,1
3052,Yes,0.5,1,1
3053,No,0.8,0,0
3054,No,0.6,0,0
3055,Yes,0.8,1,1
3056,Yes,0.4,1,1
3057,No,0.5,0,2
3058,Yes,0.1,1,1
3059,Yes,0.7,1,1
3060,Yes,0.7,1,1
3061,Yes,0.2,1,1
3062,Yes,0.9,1,1
3063,Yes,0.9,1,1
3064,Yes,0.4,1,1
3065,No,0.7,0,0
3066,Yes,0.3,1,1
3067,No,0.7,0,0
3068,Yes,0.4,1,1
3069,No,0.4,0,2
3070,Yes,0.9,1,1
3071,Yes,0.6,1,1
3072,Yes,1.0,1,1
3073,No,0.1,0,2
3074,Yes,0.9,1,1
3075,No,0.5,0,2
3076,Yes,0.5,1,1
3077,No,0.9,0,0
3078,Yes,0.0,1,1
3079,No,0.6,0,0
3080,No,0.3,0,2
3081,No,1.0,0,0
3082,No,0.4,0,2
3083,No,0.6,0,0
3084,No,0.5,0,2
3085,No,0.7,0,0
3086,No,1.0,0,0
3087,No,0.3,0,2
3088,No,0.7,0,0
3089,No,0.4,0,2
3090,No,0.4,0,2
3091,No,0.6,0,0
3092,Yes,0.6,1,1
3093,No,0.8,0,0
3094,Yes,0.7,1,1
3095,Yes,0.5,1,1
3096,No,0.8,0,0
3097,Yes,0.6,1,1
3098,No,0.0,0,2
3099,No,0.1,0,2
3100,No,0.4,0,2
3101,Yes,0.7,1,1
3102,No,0.1,0,2
3103,No,0.6,0,0
3104,No,0.1,0,2
3105,Yes,0.8,1,1
3106,Yes,0.4,1,1
3107,Yes,0.3,1,1
3108,No,0.9,0,0
3109,No,0.5,0,2
3110,Yes,0.9,1,1
3111,Yes,0.8,1,1
3112,No,0.6,0,0
3113,Yes,0.6,1,1
3114,Yes,0.6,1,1
3115,Yes,0.5,1,1
3116,Yes,0.5,1,1
3117,Yes,0.5,1,1
3118,Yes,0.9,1,1
3119,Yes,0.7,1,1
3120,Yes,0.6,1,1
3121,Yes,0.9,1,1
3122,Yes,0.6,1,1
3123,Yes,0.7,1,1
3124,Yes,0.2,1,1
3125,No,0.7,0,0
3126,No,0.5,0,2
3127,Yes,0.5,1,1
3128,Yes,0.4,1,1
3129,Yes,0.8,1,1
3130,Yes,0.4,1,1
3131,No,0.4,0,2
3132,Yes,0.0,1,1
3133,No,0.9,0,0
3134,No,0.6,0,0
3135,Yes,0.8,1,1
3136,Yes,0.3,1,1
3137,Yes,0.9,1,1
3138,No,0.4,0,2
3139,No,0.2,0,2
3140,Yes,0.8,1,1
3141,Yes,0.6,1,1
3142,Yes,0.1,1,1
3143,No,0.2,0,2
3144,No,0.6,0,0
3145,Yes,1.0,1,1
3146,Yes,0.2,1,1
3147,No,0.5,0,2
3148,Yes,0.7,1,1
3149,No,0.9,0,0
3150,Yes,0.9,1,1
3151,Yes,0.5,1,1
3152,No,0.5,0,2
3153,No,0.6,0,0
3154,No,0.9,0,0
3155,No,0.6,0,0
3156,No,0.9,0,0
3157,No,0.0,0,2
3158,Yes,0.4,1,1
3159,No,0.1,0,2
3160,No,0.0,0,2
3161,No,0.1,0,2
3162,Yes,0.8,1,1
3163,No,0.8,0,0
3164,Yes,0.8,1,1
3165,Yes,0.3,1,1
3166,Yes,0.3,1,1
3167,Yes,0.7,1,1
3168,Yes,0.3,1,1
3169,Yes,0.5,1,1
3170,No,0.6,0,0
3171,Yes,0.9,1,1
3172,No,0.5,0,2
3173,No,0.4,0,2
3174,No,0.6,0,0
3175,No,0.7,0,0
3176,No,0.2,0,2
3177,Yes,0.3,1,1
3178,Yes,0.6,1,1
3179,No,0.4,0,2
3180,Yes,0.4,1,1
3181,No,0.7,0,0
3182,Yes,0.1,1,1
3183,Yes,0.6,1,1
3184,No,0.9,0,0
3185,No,0.4,0,2
3186,No,0.2,0,2
3187,Yes,0.6,1,1
3188,Yes,0.7,1,1
3189,Yes,0.2,1,1
3190,No,0.2,0,2
3191,Yes,0.3,1,1
3192,No,0.8,0,0
3193,Yes,0.5,1,1
3194,Yes,0.7,1,1
3195,Yes,0.7,1,1
3196,No,0.0,0,2
3197,No,0.7,0,0
3198,No,0.6,0,0
3199,Yes,0.5,1,1
3200,Yes,0.2,1,1
3201,No,0.7,0,0
3202,Yes,0.3,1,1
3203,Yes,0.9,1,1
3204,No,0.4,0,2
3205,Yes,0.6,1,1
3206,No,0.7,0,0
3207,Yes,0.5,1,1
3208,No,0.5,0,2
3209,No,0.9,0,0
3210,Yes,0.5,1,1
3211,Yes,0.6,1,1
3212,Yes,1.0,1,1
3213,Yes,0.7,1,1
3214,Yes,0.5,1,1
3215,Yes,0.5,1,1
3216,Yes,0.3,1,1
3217,No,0.7,0,0
3218,No,0.6,0,0
3219,Yes,0.4,1,1
3220,No,0.9,0,0
3221,No,0.9,0,0
3222,No,0.4,0,2
3223,Yes,0.6,1,1
3224,No,0.6,0,0
3225,Yes,0.6,1,1
3226,Yes,0.4,1,1
3227,No,0.1,0,2
3228,No,0.1,0,2
3229,No,1.0,0,0
3230,No,0.7,0,0
3231,No,0.8,0,0
3232,No,1.0,0,0
3233,No,0.1,0,2
3234,No,0.8,0,0
3235,Yes,0.5,1,1
3236,No,1.0,0,0
3237,Yes,0.7,1,1
3238,No,0.4,0,2
3239,Yes,0.6,1,1
3240,Yes,0.5,1,1
3241,No,0.6,0,0
3242,No,1.0,0,0
3243,No,0.7,0,0
3244,Yes,0.6,1,1
3245,Yes,0.7,1,1
3246,Yes,0.6,1,1
3247,No,0.3,0,2
3248,Yes,0.3,1,1
3249,Yes,0.9,1,1
3250,Yes,0.9,1,1
3251,Yes,0.6,1,1
3252,Yes,0.8,1,1
3253,No,0.6,0,0
3254,No,0.7,0,0
3255,No,0.5,0,2
3256,No,0.9,0,0
3257,Yes,0.6,1,1
3258,No,0.9,0,0
3259,No,0.5,0,2
3260,No,0.8,0,0
3261,No,1.0,0,0
3262,Yes,0.8,1,1
3263,No,0.6,0,0
3264,Yes,0.4,1,1
3265,No,0.7,0,0
3266,No,0.4,0,2
3267,Yes,0.4,1,1
3268,No,0.9,0,0
3269,No,1.0,0,0
3270,No,0.5,0,2
3271,No,0.5,0,2
3272,No,0.8,0,0
3273,Yes,0.2,1,1
3274,No,0.7,0,0
3275,No,0.6,0,0
3276,No,0.6,0,0
3277,Yes,0.9,1,1
3278,No,0.8,0,0
3279,Yes,0.7,1,1
3280,Yes,0.7,1,1
3281,Yes,0.7,1,1
3282,Yes,0.9,1,1
3283,No,0.5,0,2
3284,No,0.7,0,0
3285,No,0.8,0,0
3286,Yes,0.9,1,1
3287,No,1.0,0,0
3288,No,0.9,0,0
3289,No,0.7,0,0
3290,Yes,0.9,1,1
3291,No,0.8,0,0
3292,No,0.9,0,0
3293,Yes,0.7,1,1
3294,Yes,0.0,1,1
3295,No,0.5,0,2
3296,Yes,0.2,1,1
3297,No,0.2,0,2
3298,No,0.7,0,0
3299,No,0.4,0,2
3300,No,1.0,0,0
3301,Yes,0.6,1,1
3302,Yes,0.9,1,1
3303,No,0.9,0,0
3304,Yes,0.8,1,1
3305,No,1.0,0,0
3306,No,0.2,0,2
3307,No,0.4,0,2
3308,Yes,0.3,1,1
3309,No,0.2,0,2
3310,Yes,0.8,1,1
3311,Yes,0.0,1,1
3312,Yes,0.4,1,1
3313,Yes,0.6,1,1
3314,Yes,0.5,1,1
3315,No,0.6,0,0
3316,Yes,0.2,1,1
3317,Yes,0.7,1,1
3318,Yes,0.9,1,1
3319,No,0.6,0,0
3320,Yes,1.0,1,1
3321,No,0.4,0,2
3322,Yes,0.1,1,1
3323,Yes,0.4,1,1
3324,No,1.0,0,0
3325,Yes,0.5,1,1
3326,Yes,0.4,1,1
3327,No,0.7,0,0
3328,Yes,0.9,1,1
3329,Yes,0.8,1,1
3330,Yes,0.3,1,1
3331,No,0.7,0,0
3332,No,0.2,0,2
3333,Yes,0.3,1,1
3334,No,0.7,0,0
3335,No,0.1,0,2
3336,Yes,0.3,1,1
3337,Yes,0.7,1,1
3338,No,0.3,0,2
3339,Yes,0.9,1,1
3340,No,0.0,0,2
3341,No,0.0,0,2
3342,No,0.9,0,0
3343,Yes,0.8,1,1
3344,No,0.9,0,0
3345,No,0.4,0,2
3346,No,0.7,0,0
3347,Yes,0.9,1,1
3348,No,0.9,0,0
3349,No,0.7,0,0
3350,No,0.1,0,2
3351,No,0.5,0,2
3352,Yes,0.5,1,1
3353,Yes,0.7,1,1
3354,Yes,0.6,1,1
3355,No,0.0,0,2
3356,Yes,0.3,1,1
3357,No,0.9,0,0
3358,No,1.0,0,0
3359,No,0.3,0,2
3360,Yes,0.6,1,1
3361,Yes,0.9,1,1
3362,Yes,0.9,1,1
3363,Yes,0.2,1,1
3364,No,1.0,0,0
3365,No,0.4,0,2
3366,Yes,0.3,1,1
3367,Yes,0.5,1,1
3368,No,0.5,0,2
3369,Yes,0.6,1,1
3370,Yes,0.4,1,1
3371,Yes,1.0,1,1
3372,No,0.7,0,0
3373,Yes,0.4,1,1
3374,Yes,0.8,1,1
3375,Yes,0.3,1,1
3376,No,0.9,0,0
3377,Yes,0.7,1,1
3378,Yes,0.7,1,1
3379,No,1.0,0,0
3380,No,0.7,0,0
3381,Yes,0.3,1,1
3382,No,1.0,0,0
3383,Yes,0.7,1,1
3384,Yes,0.6,1,1
3385,No,0.7,0,0
3386,No,0.9,0,0
3387,No,0.7,0,0
3388,No,1.0,0,0
3389,No,0.4,0,2
3390,Yes,0.3,1,1
3391,Yes,0.3,1,1
3392,Yes,0.3,1,1
3393,Yes,0.5,1,1
3394,No,0.3,0,2
3395,Yes,0.9,1,1
3396,Yes,0.5,1,1
3397,Yes,0.1,1,1
3398,Yes,0.9,1,1
3399,No,0.5,0,2
3400,No,0.3,0,2
3401,Yes,0.7,1,1
3402,Yes,0.6,1,1
3403,No,0.3,0,2
3404,Yes,0.1,1,1
3405,Yes,0.6,1,1
3406,Yes,0.7,1,1
3407,Yes,0.6,1,1
3408,Yes,0.6,1,1
3409,No,0.2,0,2
3410,Yes,0.4,1,1
3411,No,0.5,0,2
3412,Yes,0.2,1,1
3413,No,0.8,0,0
3414,Yes,0.3,1,1
3415,Yes,0.1,1,1
3416,No,0.6,0,0
3417,Yes,0.3,1,1
3418,Yes,0.5,1,1
3419,Yes,0.6,1,1
3420,Yes,0.2,1,1
3421,No,0.7,0,0
3422,Yes,0.2,1,1
3423,Yes,1.0,1,1
3424,Yes,0.6,1,1
3425,Yes,0.9,1,1
3426,No,0.3,0,2
3427,No,1.0,0,0
3428,Yes,0.5,1,1
3429,Yes,0.6,1,1
3430,No,0.4,0,2
3431,No,0.2,0,2
3432,Yes,0.7,1,1
3433,Yes,0.5,1,1
3434,No,0.9,0,0
3435,No,0.7,0,0
3436,No,0.3,0,2
3437,No,0.7,0,0
3438,Yes,0.4,1,1
3439,Yes,1.0,1,1
3440,No,0.7,0,0
3441,Yes,0.0,1,1
3442,Yes,0.4,1,1
3443,Yes,0.7,1,1
3444,No,0.6,0,0
3445,No,0.9,0,0
3446,Yes,0.3,1,1
3447,No,0.6,0,0
3448,No,0.2,0,2
3449,No,0.5,0,2
3450,No,0.7,0,0
3451,Yes,0.9,1,1
3452,No,0.2,0,2
3453,No,0.6,0,0
3454,Yes,0.6,1,1
3455,Yes,0.6,1,1
3456,No,0.4,0,2
3457,Yes,0.4,1,1
3458,Yes,0.7,1,1
3459,No,0.6,0,0
3460,Yes,1.0,1,1
3461,Yes,0.9,1,1
3462,No,0.6,0,0
3463,No,0.9,0,0
3464,Yes,0.5,1,1
3465,No,0.7,0,0
3466,No,0.6,0,0
3467,No,0.8,0,0
3468,Yes,0.8,1,1
3469,Yes,0.7,1,1
3470,Yes,0.6,1,1
3471,Yes,0.4,1,1
3472,Yes,0.6,1,1
3473,Yes,0.4,1,1
3474,No,0.8,0,0
3475,Yes,0.5,1,1
3476,No,0.5,0,2
3477,Yes,0.4,1,1
3478,Yes,0.9,1,1
3479,No,0.0,0,2
3480,No,0.4,0,2
3481,No,0.9,0,0
3482,No,0.0,0,2
3483,Yes,0.0,1,1
3484,No,0.1,0,2
3485,Yes,0.8,1,1
3486,Yes,0.6,1,1
3487,No,0.4,0,2
3488,No,0.7,0,0
3489,Yes,0.7,1,1
3490,No,0.2,0,2
3491,Yes,0.4,1,1
3492,No,0.6,0,0
3493,Yes,0.9,1,1
3494,Yes,1.0,1,1
3495,Yes,0.6,1,1
3496,No,0.4,0,2
3497,Yes,0.3,1,1
3498,No,0.7,0,0
3499,Yes,0.3,1,1
3500,No,0.7,0,0
3501,Yes,0.4,1,1
3502,No,1.0,0,0
3503,Yes,0.7,1,1
3504,No,0.7,0,0
3505,No,0.5,0,2
3506,No,0.3,0,2
3507,Yes,0.3,1,1
3508,Yes,0.6,1,1
3509,No,0.4,0,2
3510,Yes,0.8,1,1
3511,Yes,0.7,1,1
3512,No,0.2,0,2
3513,No,0.3,0,2
3514,Yes,0.3,1,1
3515,No,0.7,0,0
3516,Yes,0.4,1,1
3517,No,0.8,0,0
3518,Yes,0.7,1,1
3519,Yes,0.3,1,1
3520,Yes,0.7,1,1
3521,Yes,0.8,1,1
3522,No,0.7,0,0
3523,Yes,0.4,1,1
3524,No,0.9,0,0
3525,No,0.5,0,2
3526,Yes,0.7,1,1
3527,Yes,0.9,1,1
3528,No,0.5,0,2
3529,Yes,0.7,1,1
3530,No,0.8,0,0
3531,No,0.3,0,2
3532,No,0.5,0,2
3533,No,1.0,0,0
3534,No,0.7,0,0
3535,No,0.3,0,2
3536,Yes,0.7,1,1
3537,No,0.6,0,0
3538,No,0.7,0,0
3539,No,0.3,0,2
3540,Yes,0.9,1,1
3541,Yes,0.6,1,1
3542,Yes,0.9,1,1
3543,No,0.4,0,2
3544,Yes,0.4,1,1
3545,No,0.8,0,0
3546,Yes,0.7,1,1
3547,No,0.4,0,2
3548,Yes,0.8,1,1
3549,No,0.7,0,0
3550,Yes,0.6,1,1
3551,Yes,1.0,1,1
3552,No,0.8,0,0
3553,No,0.6,0,0
3554,Yes,0.9,1,1
3555,Yes,0.1,1,1
3556,No,0.1,0,2
3557,No,0.3,0,2
3558,No,0.8,0,0
3559,Yes,0.7,1,1
3560,Yes,0.7,1,1
3561,Yes,0.4,1,1
3562,Yes,0.7,1,1
3563,Yes,0.9,1,1
3564,Yes,0.5,1,1
3565,Yes,0.7,1,1
3566,Yes,0.7,1,1
3567,No,0.5,0,2
3568,Yes,0.5,1,1
3569,Yes,0.4,1,1
3570,Yes,0.2,1,1
3571,Yes,1.0,1,1
3572,No,0.0,0,2
3573,Yes,0.6,1,1
3574,Yes,0.8,1,1
3575,Yes,0.2,1,1
3576,Yes,0.5,1,1
3577,Yes,0.6,1,1
3578,No,0.9,0,0
3579,Yes,0.6,1,1
3580,No,0.8,0,0
3581,No,0.7,0,0
3582,No,1.0,0,0
3583,No,0.9,0,0
3584,No,0.7,0,0
3585,No,0.6,0,0
3586,Yes,0.6,1,1
3587,No,1.0,0,0
3588,No,0.7,0,0
3589,Yes,0.5,1,1
3590,Yes,0.5,1,1
3591,Yes,0.5,1,1
3592,No,0.3,0,2
3593,Yes,0.4,1,1
3594,Yes,0.8,1,1
3595,No,0.7,0,0
3596,Yes,0.5,1,1
3597,No,0.4,0,2
3598,No,0.9,0,0
3599,No,0.5,0,2
3600,Yes,0.9,1,1
3601,Yes,0.6,1,1
3602,Yes,0.9,1,1
3603,No,0.9,0,0
3604,No,0.2,0,2
3605,No,0.7,0,0
3606,Yes,0.7,1,1
3607,Yes,0.4,1,1
3608,No,0.7,0,0
3609,Yes,0.1,1,1
3610,Yes,0.6,1,1
3611,Yes,0.7,1,1
3612,No,0.4,0,2
3613,No,0.7,0,0
3614,No,0.3,0,2
3615,No,0.3,0,2
3616,No,0.8,0,0
3617,Yes,0.8,1,1
3618,Yes,0.4,1,1
3619,No,0.6,0,0
3620,Yes,0.9,1,1
3621,No,0.7,0,0
3622,No,0.8,0,0
3623,No,0.0,0,2
3624,No,0.0,0,2
3625,Yes,0.6,1,1
3626,Yes,0.8,1,1
3627,No,0.1,0,2
3628,No,0.9,0,0
3629,No,0.9,0,0
3630,Yes,1.0,1,1
3631,Yes,0.6,1,1
3632,No,0.5,0,2
3633,Yes,1.0,1,1
3634,No,0.4,0,2
3635,No,0.5,0,2
3636,No,0.9,0,0
3637,Yes,0.9,1,1
3638,No,0.9,0,0
3639,No,0.3,0,2
3640,Yes,0.5,1,1
3641,Yes,0.1,1,1
3642,No,0.4,0,2
3643,Yes,0.4,1,1
3644,No,0.4,0,2
3645,Yes,0.7,1,1
3646,No,0.0,0,2
3647,No,1.0,0,0
3648,Yes,0.8,1,1
3649,No,0.1,0,2
3650,No,0.7,0,0
3651,No,0.3,0,2
3652,Yes,0.0,1,1
3653,Yes,0.4,1,1
3654,Yes,0.3,1,1
3655,Yes,0.7,1,1
3656,No,0.5,0,2
3657,Yes,0.7,1,1
3658,No,0.7,0,0
3659,No,0.7,0,0
3660,No,0.2,0,2
3661,Yes,0.1,1,1
3662,No,0.6,0,0
3663,Yes,0.7,1,1
3664,No,0.5,0,2
3665,No,0.7,0,0
3666,No,0.4,0,2
3667,Yes,0.1,1,1
3668,Yes,0.6,1,1
3669,No,0.8,0,0
3670,Yes,0.8,1,1
3671,No,0.3,0,2
3672,Yes,0.4,1,1
3673,No,0.1,0,2
3674,Yes,0.5,1,1
3675,No,0.8,0,0
3676,Yes,0.4,1,1
3677,No,0.4,0,2
3678,No,0.4,0,2
3679,No,0.8,0,0
3680,Yes,0.6,1,1
3681,Yes,0.2,1,1
3682,No,0.8,0,0
3683,Yes,0.6,1,1
3684,Yes,0.6,1,1
3685,Yes,0.7,1,1
3686,No,0.3,0,2
3687,Yes,0.6,1,1
3688,Yes,1.0,1,1
3689,No,0.9,0,0
3690,No,0.4,0,2
3691,Yes,0.6,1,1
3692,No,1.0,0,0
3693,No,0.7,0,0
3694,No,0.5,0,2
3695,No,0.2,0,2
3696,No,0.7,0,0
3697,No,0.4,0,2
3698,No,0.6,0,0
3699,No,0.1,0,2
3700,Yes,0.7,1,1
3701,No,0.3,0,2
3702,Yes,0.5,1,1
3703,No,0.3,0,2
3704,Yes,0.4,1,1
3705,Yes,0.3,1,1
3706,Yes,0.9,1,1
3707,Yes,0.3,1,1
3708,No,0.7,0,0
3709,No,0.6,0,0
3710,Yes,0.7,1,1
3711,Yes,0.7,1,1
3712,No,0.6,0,0
3713,Yes,0.4,1,1
3714,No,0.7,0,0
3715,Yes,0.4,1,1
3716,Yes,0.4,1,1
3717,No,0.4,0,2
3718,No,0.1,0,2
3719,Yes,0.7,1,1
3720,Yes,0.8,1,1
3721,Yes,0.4,1,1
3722,No,0.6,0,0
3723,No,0.4,0,2
3724,No,0.9,0,0
3725,Yes,0.6,1,1
3726,No,0.3,0,2
3727,No,0.6,0,0
3728,No,0.5,0,2
3729,Yes,0.7,1,1
3730,No,0.9,0,0
3731,Yes,0.5,1,1
3732,Yes,0.8,1,1
3733,No,0.7,0,0
3734,Yes,0.7,1,1
3735,Yes,0.4,1,1
3736,Yes,0.3,1,1
3737,No,0.6,0,0
3738,No,0.8,0,0
3739,Yes,0.3,1,1
3740,No,0.4,0,2
3741,Yes,0.9,1,1
3742,No,0.5,0,2
3743,No,0.3,0,2
3744,Yes,1.0,1,1
3745,Yes,0.6,1,1
3746,Yes,0.6,1,1
3747,No,0.3,0,2
3748,Yes,0.1,1,1
3749,No,0.8,0,0
3750,No,0.1,0,2
3751,No,0.2,0,2
3752,Yes,0.2,1,1
3753,No,0.3,0,2
3754,No,0.0,0,2
3755,Yes,0.9,1,1
3756,No,0.6,0,0
3757,No,0.4,0,2
3758,No,0.8,0,0
3759,Yes,1.0,1,1
3760,Yes,0.0,1,1
3761,Yes,0.6,1,1
3762,No,0.6,0,0
3763,No,0.5,0,2
3764,No,0.7,0,0
3765,No,1.0,0,0
3766,No,0.4,0,2
3767,Yes,0.7,1,1
3768,No,0.4,0,2
3769,No,0.6,0,0
3770,No,0.5,0,2
3771,Yes,0.5,1,1
3772,No,0.5,0,2
3773,No,0.6,0,0
3774,No,0.8,0,0
3775,Yes,0.7,1,1
3776,Yes,0.7,1,1
3777,Yes,0.7,1,1
3778,Yes,0.8,1,1
3779,No,0.8,0,0
3780,No,0.3,0,2
3781,Yes,0.3,1,1
3782,Yes,0.1,1,1
3783,Yes,0.7,1,1
3784,Yes,0.9,1,1
3785,Yes,0.8,1,1
3786,Yes,0.8,1,1
3787,Yes,0.6,1,1
3788,No,0.8,0,0
3789,Yes,0.6,1,1
3790,Yes,1.0,1,1
3791,Yes,0.2,1,1
3792,Yes,0.5,1,1
3793,No,0.6,0,0
3794,No,0.5,0,2
3795,Yes,1.0,1,1
3796,No,0.9,0,0
3797,No,0.4,0,2
3798,No,0.8,0,0
3799,No,0.4,0,2
3800,Yes,0.9,1,1
3801,Yes,0.5,1,1
3802,Yes,0.7,1,1
3803,No,0.7,0,0
3804,No,0.4,0,2
3805,No,0.7,0,0
3806,No,0.8,0,0
3807,Yes,0.6,1,1
3808,No,0.4,0,2
3809,Yes,0.5,1,1
3810,Yes,0.4,1,1
3811,No,0.9,0,0
3812,Yes,0.5,1,1
3813,Yes,0.8,1,1
3814,Yes,0.6,1,1
3815,Yes,0.2,1,1
3816,No,0.6,0,0
3817,Yes,0.6,1,1
3818,Yes,0.7,1,1
3819,Yes,0.6,1,1
3820,Yes,0.7,1,1
3821,Yes,0.3,1,1
3822,Yes,0.9,1,1
3823,No,0.2,0,2
3824,Yes,0.9,1,1
3825,Yes,0.3,1,1
3826,Yes,0.8,1,1
3827,Yes,0.5,1,1
3828,Yes,0.5,1,1
3829,Yes,0.9,1,1
3830,Yes,0.3,1,1
3831,No,0.7,0,0
3832,No,0.8,0,0
3833,No,0.5,0,2
3834,Yes,0.5,1,1
3835,Yes,0.9,1,1
3836,Yes,1.0,1,1
3837,No,0.7,0,0
3838,Yes,0.0,1,1
3839,Yes,0.5,1,1
3840,Yes,0.7,1,1
3841,No,0.8,0,0
3842,Yes,0.6,1,1
3843,Yes,0.7,1,1
3844,No,0.7,0,0
3845,Yes,0.7,1,1
3846,No,0.6,0,0
3847,No,0.7,0,0
3848,No,0.8,0,0
3849,No,0.7,0,0
3850,Yes,0.9,1,1
3851,No,0.6,0,0
3852,No,0.0,0,2
3853,No,0.8,0,0
3854,No,0.7,0,0
3855,Yes,0.6,1,1
3856,Yes,0.7,1,1
3857,Yes,0.5,1,1
3858,Yes,1.0,1,1
3859,No,0.8,0,0
3860,Yes,0.5,1,1
3861,Yes,0.4,1,1
3862,Yes,0.7,1,1
3863,No,0.8,0,0
3864,Yes,0.4,1,1
3865,Yes,1.0,1,1
3866,Yes,0.7,1,1
3867,Yes,0.5,1,1
3868,Yes,0.4,1,1
3869,No,0.4,0,2
3870,No,0.7,0,0
3871,No,0.8,0,0
3872,No,0.7,0,0
3873,No,0.1,0,2
3874,Yes,0.4,1,1
3875,No,0.4,0,2
3876,No,0.3,0,2
3877,Yes,0.6,1,1
3878,Yes,0.4,1,1
3879,No,0.2,0,2
3880,No,0.6,0,0
3881,Yes,0.0,1,1
3882,No,0.8,0,0
3883,No,0.3,0,2
3884,Yes,0.4,1,1
3885,No,0.1,0,2
3886,No,0.8,0,0
3887,Yes,1.0,1,1
3888,Yes,0.5,1,1
3889,Yes,0.3,1,1
3890,Yes,0.6,1,1
3891,Yes,0.6,1,1
3892,No,0.3,0,2
3893,Yes,0.7,1,1
3894,No,0.5,0,2
3895,Yes,0.3,1,1
3896,Yes,0.7,1,1
3897,Yes,0.6,1,1
3898,No,0.7,0,0
3899,Yes,0.6,1,1
3900,No,0.3,0,2
3901,Yes,0.5,1,1
3902,Yes,0.7,1,1
3903,No,0.9,0,0
3904,No,0.7,0,0
3905,Yes,0.9,1,1
3906,Yes,0.7,1,1
3907,No,0.3,0,2
3908,Yes,0.7,1,1
3909,Yes,0.9,1,1
3910,No,0.3,0,2
3911,Yes,1.0,1,1
3912,Yes,0.8,1,1
3913,No,0.0,0,2
3914,Yes,0.6,1,1
3915,Yes,0.9,1,1
3916,Yes,0.4,1,1
3917,No,0.8,0,0
3918,Yes,0.7,1,1
3919,Yes,0.9,1,1
3920,Yes,0.4,1,1
3921,Yes,0.7,1,1
3922,Yes,1.0,1,1
3923,No,0.5,0,2
3924,Yes,0.7,1,1
3925,No,0.5,0,2
3926,No,0.1,0,2
3927,Yes,0.5,1,1
3928,Yes,0.7,1,1
3929,Yes,0.5,1,1
3930,No,0.9,0,0
3931,No,0.6,0,0
3932,Yes,0.5,1,1
3933,No,0.9,0,0
3934,No,0.1,0,2
3935,Yes,0.8,1,1
3936,Yes,0.1,1,1
3937,No,0.8,0,0
3938,Yes,0.4,1,1
3939,No,0.8,0,0
3940,No,0.2,0,2
3941,No,0.1,0,2
3942,No,0.6,0,0
3943,Yes,0.6,1,1
3944,Yes,0.7,1,1
3945,No,0.8,0,0
3946,No,0.4,0,2
3947,No,1.0,0,0
3948,Yes,0.6,1,1
3949,No,0.4,0,2
3950,Yes,0.6,1,1
3951,No,0.7,0,0
3952,Yes,0.2,1,1
3953,No,0.7,0,0
3954,Yes,0.9,1,1
3955,Yes,0.9,1,1
3956,No,0.4,0,2
3957,Yes,0.2,1,1
3958,Yes,0.5,1,1
3959,No,0.8,0,0
3960,Yes,0.6,1,1
3961,Yes,0.1,1,1
3962,Yes,0.8,1,1
3963,Yes,0.7,1,1
3964,Yes,0.3,1,1
3965,No,0.1,0,2
3966,No,0.3,0,2
3967,Yes,0.3,1,1
3968,No,0.4,0,2
3969,No,0.4,0,2
3970,Yes,0.9,1,1
3971,No,0.6,0,0
3972,Yes,0.8,1,1
3973,No,0.4,0,2
3974,Yes,0.9,1,1
3975,No,0.7,0,0
3976,Yes,0.7,1,1
3977,No,0.3,0,2
3978,Yes,1.0,1,1
3979,Yes,0.2,1,1
3980,Yes,0.9,1,1
3981,Yes,0.6,1,1
